co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
7448627,120042,84306455000120,PREFEITURA MUNICIPAL DE RODRIGUES ALVES,PREFEITURA MUNICIPAL DE RODRIGUES ALVES,UNIDADE BASICA JOSINA DE OLIVEIRA MOURA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,COMUNIDADE NOVA CINTRA,S/N,ZONA RURAL,69985000,Norte,AC,Rodrigues Alves,68 33421006,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,ESTRATEGIA DE SAUDE DA FAMILIA,-7.73360204696655,-72.6478576660156,SEDE MUNICIPIO
5841275,120040,,,ALEX RODRIGUES CAVALCANTE,CLINICA ESPACO VITAL,CLINICA/CENTRO DE ESPECIALIDADE,,,M,RUA MILTON MATOS,770,BOSQUE,69900460,Norte,AC,Rio Branco,(68) 3224 4631,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA,-9.96233,-67.80787,CNES_GEO
3856135,120070,04018560000124,PREFEITURA MUNICIPAL DE XAPURI,PREFEITURA MUNICIPAL DE XAPURI,VIGILANCIA SANITARIA E EPIDEMIOLOGICA DE XAPURI,UNIDADE DE VIGILANCIA EM SAUDE,,,M,RUA PETRONIO RODRIGUES DE OLIVEIRA,S/N,PANTANAL,69930000,Norte,AC,Xapuri,,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE,-10.63597,-68.49458,CNES_GEO
2002205,120033,04059671000189,PREFEITURA MUNICIPAL DE MANCIO LIMA,PREFEITURA MUNICIPAL DE MANCIO LIMA,POSTO DE SAUDE JOAQUIN LOPES,POSTO DE SAUDE,,,M,SAO SALVADOR,159,RIO MOA,69990000,Norte,AC,Mâncio Lima,(68)3431126,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,ESTRATEGIA DE AGENTES COMUNITARIOS DE SAUDE,-7.62225,-72.89233,CNES_GEO
2001306,120040,04034583000637,PREFEITURA MUNICIPAL DE RIO BRANCO,MUNICIPIO DE RIO BRANCO,URAP DRA CLAUDIA VITORINO,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA BAGUARI,40,TAQUARI,69900460,Norte,AC,Rio Branco,(68)3221-4717,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE ATENCAO A SAUDE DO TRABALHADOR| CONSULTORIO NA RUA| SERVICO DE ATENCAO PSICOSSOCIAL| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE FISIOTERAPIA| SERVICO DE APOIO A SAUDE DA FAMILIA| SERVICO DE ATENCAO DOMICILIAR| SERVICO DE ATENCAO DOMICILIAR| SERVICO DE CONTROLE DE TABAGISMO| SERVICO DE FISIOTERAPIA| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE ATENCAO DOMICILIAR| SERVICO POSTO DE COLETA DE MATERIAIS  BIOLOGICOS",-9.99612092971773,-67.8079390525798,PMAQ
3062422,120040,,,CENTRO ESPECIALIZADO EM REABILITACAO LTDA,CER,CLINICA/CENTRO DE ESPECIALIDADE,,,M,RUA GUIOMARD SANTOS,310,BOSQUE,69900460,Norte,AC,Rio Branco,68 3224 6152,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA,-9.96804,-67.81164,CNES_GEO
2002051,120040,04034583000637,PREFEITURA MUNICIPAL DE RIO BRANCO,PREFEITURA MUNICIPAL DE RIO BRANCO,DEPARTAMENTO DE VIGILANCIA SANITARIA,UNIDADE DE VIGILANCIA EM SAUDE,,,M,AV CEARA,3188,ABRAHAO ALAB,69907000,Norte,AC,Rio Branco,(68) 3226-2113,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE,-9.97458,-67.81176,CNES_GEO
3393984,120001,84306737000127,PREFEITURA MUNICIPAL DE ACRELANDIA,PRFEITURA MUNICIPAL DE ACRELANDIA,UNIDADE DE SAUDE DA FAMILIA RICARDO MONTEIRO ROLA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA 07 QUEDAS,284,CENTRO,69945000,Norte,AC,Acrelândia,6832351426,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",-10.0753641128537,-67.0512771606426,PMAQ
7561113,120020,04012548000102,PREFEITURA MUNICIPAL DE CRUZEIRO DO SUL,PREFEITURA MUNICIPAL DE CRUZEIRO DO SUL,UNIDADE BASICA DE SAUDE EUCLIDES QUEIROS FILHO,CENTRO DE SAUDE/UNIDADE BASICA,,,M,BR 364,S/N,MIRITIZAL,69980000,Norte,AC,Cruzeiro do Sul,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| ESTRATEGIA DE SAUDE DA FAMILIA",-7.6364833,-72.6616818,GOOGLE
6007139,120020,,,JOSE CONCEPCION DIAZ SANCHEZ,JOSE CONCEPCION DIAZ SANCHEZ,CONSULTORIO ISOLADO,,,M,AVENIDA 15 DE NOVEMBRO,464,CENTRO,69980000,Norte,AC,Cruzeiro do Sul,(68) 3322 7714,ATENDIMENTO SOMENTE A TARDE,SERVICO DE DIAGNOSTICO POR IMAGEM,-7.67015,-72.64727,CNES_GEO
3595943,120038,04076733000160,SECRETARIA MUNICIPAL DE SAÚDE,PREFEITURA MUNICIPAL DE PLACIDO DE CASTRO,U S F FRANCISCO DE CASTRO,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA AQUIRI,0206,ZONA RURAL DISTRIT,69928000,Norte,AC,Plácido de Castro,32671137,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| ESTRATEGIA DE SAUDE DA FAMILIA",-10.063712596893,-67.2985768318157,PMAQ
6634230,120025,84306588000104,PREFEITURA MUNICIPAL DE EPITACIOLANDIA,PREFEITURA MUNICIPAL DE EPITACIOLANDIA,ESF JOSE PAULO DE SOUZA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA CAPITAO PEDRO VASCONCELOS,S/N,AEROPORTO,69934000,Norte,AC,Epitaciolândia,(68)3546-4741,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",-11.0302948951718,-68.7378287315349,PMAQ
7105312,120060,,,D I SARAIVA LTDA ME,LAB CLIN,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,E,RUA QUINTINO BOCAIUVA,274,CENTRO,69970000,Norte,AC,Tarauacá,68 34621728,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-8.161,-70.766,CNES_GEO
6697151,120050,00394544009565,DISTRITO SANITARIO ESPECIAL INDIGENA ALTO RIO PURUS,MINISTERIO DA SAUDE,DISTRITO SANITARIO ESPECIAL INDIGENA ALTO PURUS,UNIDADE DE ATENCAO A SAUDE INDIGENA,,,M,RUA PADRE EGIDIO,245,CENTRO,69940000,Norte,AC,Sena Madureira,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,ATENCAO A SAUDE DA POPULACAO INDIGENA,-9.0672,-68.65767,CNES_GEO
