co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
6428975,270450,12248522000196,PREFEITURA MUNICIPAL DE MARAGOGI,PREFEITURA MUNICIPAL DE MARAGOGI,SECRETARIA MUNICIPAL DE SAUDE DE MARAGOGI,CENTRAL DE GESTAO EM SAUDE,,,M,RUA MELQUIADES LINDOSO,25,CENTRO,57955000,Nordeste,AL,Maragogi,,ATENDIMENTO SOMENTE PELA MANHA,SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE| REGULACAO DE ACESSO A ACOES E SERVICOS DE SAUDE,-9.00807,-35.21863,CNES_GEO
2010232,270860,12264222000109,PREFEITURA MUNICIPAL DE SAO MIGUEL DOS CAMPOS,PREFEITURA MUNICIPAL DE SAO MIGUEL DOS CAMPOS,UNIDADE BASICA DE SAUDE BELA VISTA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA DOUTOR RODRIGO CORREIA DE ARAUJO,66,CENTRO,57245079,Nordeste,AL,São Miguel dos Campos,(82)32712002,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| TELECONSULTORIA| ESTRATEGIA DE SAUDE DA FAMILIA| TELECONSULTORIA| TELECONSULTORIA",-9.77993457613103,-36.0942642743776,PMAQ
7370318,270750,12207429000133,PREFEITURA MUNICIPAL DE PORTO REAL DO COLEGIO,PREFEITURA MUNICIPAL DE PORTO REAL DO COLEGIO,ESF URBANO II PRC,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA FALCONERI DE SOUZA,13,CENTRO,57290000,Nordeste,AL,Porto Real do Colégio,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE ATENCAO DOMICILIAR",-10.186,-36.84,CNES_GEO
2720086,270920,12207452000128,PREFEITURA MUNICIPAL DE TRAIPU,PREFEITURA MUNICIPAL DE TRAIPU,USF PIRANHAS,CENTRO DE SAUDE/UNIDADE BASICA,,,M,POVOADO PIRANHAS,S/N,ZONA RURAL,57370000,Nordeste,AL,Traipu,35361133,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE",-9.81104850769014,-37.0384955406178,PMAQ
2011522,270350,12247755000174,PREFEITURA MUNICIPAL DE JACUIPE,PREFEITURA MUNICIPAL DE JACUIPE,SECRETARIA MUNICIPL DE SAUDE,CENTRAL DE GESTAO EM SAUDE,,,M,RUA DO COMERCIO,S/N,CENTRO,57960000,Nordeste,AL,Jacuípe,82 3252 5274,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE| REGULACAO DE ACESSO A ACOES E SERVICOS DE SAUDE,-8.84063,-35.4589,CNES_GEO
7666667,270550,12332953000136,PREFEITURA MUNICIPAL DE MURICI,MUNICIPIO DE MURICI,USF DR JOSE DE ASSIS PEREIRA DE MELO,CENTRO DE SAUDE/UNIDADE BASICA,,,M,CONJUNTO RESIDENCIAL OLAVO CALHEIROS,S/N,OLAVO CALHEIROS,57820000,Nordeste,AL,Murici,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE VIGILANCIA EM SAUDE",-9.30407,-35.93943,SEDE MUNICIPIO
7708963,270430,,,SANTA CASA DE MISERICORDIA DE MACEIO,SANTA CASA DE MACEIO UNIDADE FAROL,HOSPITAL/DIA - ISOLADO,,,M,RUA PROF VIRGINIO DE CAMPOS,451,FAROL,57055235,Nordeste,AL,Maceió,(82) 3311 3500,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE TRIAGEM NEONATAL| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE FISIOTERAPIA| SERVICO DE HEMOTERAPIA| SERVICO DE TRIAGEM NEONATAL| SERVICO DE ONCOLOGIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FISIOTERAPIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE TRIAGEM NEONATAL| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE TRIAGEM NEONATAL| SERVICO DE HEMOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE HEMOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FISIOTERAPIA| SERVICO DE ONCOLOGIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO",-9.65966,-35.73452,SEDE MUNICIPIO
6357504,270135,01631604000107,PREFEITURA MUNICIPAL DE CAMPESTRE,PREFEITURA MUNICIPAL DE CAMPESTRE,SECRETARIA MUNICIPAL DE SAUDE DE CAMPESTRE,CENTRAL DE GESTAO EM SAUDE,,,M,RUA EPITACIO PESSOA,S/N,CENTRO,57968000,Nordeste,AL,Campestre,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE,-8.846,-35.568,CNES_GEO
5232546,270790,12200317000150,PREFEITURA MUNICIPAL DE SANTA LUZIA DO NORTE,PREFEITURA MUNICIPAL DE SANTA LUZIA DO NORTE,UNIDADE BASICA DE SAUDE DR CLAUDIO MELO PSF 03,POSTO DE SAUDE,,,M,RUA SAO PEDRO,S/N,CENTRO,57130000,Nordeste,AL,Santa Luzia do Norte,82 3268.1115,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE",-9.6006774902341,-35.8163523674001,PMAQ
3152294,270800,,,GERSON VICENTE SANTOS,CASA DE SAUDE E MATERNIDADE SANTA JOANA,HOSPITAL GERAL,,,M,RUA BENEDITO MELO,70,CENTRO,57500000,Nordeste,AL,Santana do Ipanema,(08)26211125,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE DIAGNOSTICO POR IMAGEM,-9.36361,-37.2483,CNES_GEO
