co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
7585594,130260,00394502015842,COMANDO DA MARINHA,COMANDO DA MARINHA,NAVIO DE ASSISTENCIA HOSPITALAR DOUTOR MONTENEGRO,UNIDADE MOVEL FLUVIAL,,,E,RODOVIA BR 319 KM 4 5,S/N,DISTRITO INDUSTRIAL,69072080,Norte,AM,Manaus,2123-4600,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ATENCAO EM SAUDE BUCAL,-3.1478439,-59.9768139,GOOGLE
6845274,130063,04628111000106,PREFEITURA MUNICIPAL DE BERURI,PREFEITURA MUNICIPAL DE BERURI,VIGILANCIA SANITARIA E EPIDEMIOLOGICA DE BERURI,UNIDADE DE VIGILANCIA EM SAUDE,,,M,AV CASTELO BRANCO,S/N,CENTRO,69430000,Norte,AM,Beruri,(97) 33511030,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE,-3.89834,-61.37349,CNES_GEO
2016745,130260,04461836000144,SECRETARIA MUNICIPAL DE SAUDE,SECRETARIA MUNICIPAL DE SAUDE DE MANAUS,UBS O 19,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA JAGUANAI,S/N,COMPENSA II,69035420,Norte,AM,Manaus,(92)36735376,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| ESTRATEGIA DE SAUDE DA FAMILIA",-3.10772,-60.04254,PMAQ
6112277,130260,,,FERNANDA VENTURIN DA SILVA,FERNANDA VENTURIN DA SILVA,CONSULTORIO ISOLADO,,,M,RUA ACRE,12,NOSSA SENHORA DAS GR,69053130,Norte,AM,Manaus,35849378,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE ATENCAO EM SAUDE BUCAL,-3.10572,-60.02349,CNES_GEO
2013223,130250,04274064000131,,MUNICIPIO DE MANACAPURU,UBSF GASPAR FERNANDES,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA H,1455,LIBERDADE,69400619,Norte,AM,Manacapuru,92 33611151,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE FISIOTERAPIA| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE FISIOTERAPIA| SERVICO DE APOIO A SAUDE DA FAMILIA| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE PRATICAS INTEGRATIVAS E COMPLEMENTARES| SERVICO DE PRATICAS INTEGRATIVAS E COMPLEMENTARES| SERVICO DE FISIOTERAPIA| SERVICO DE ATENCAO DOMICILIAR| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE ATENCAO DOMICILIAR| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO PSICOSSOCIAL| SERVICO DE PRATICAS INTEGRATIVAS E COMPLEMENTARES| SERVICO DE CONTROLE DE TABAGISMO",-3.28765869140615,-60.6217217445356,PMAQ
2016435,130260,00697295000105,SECRETARIA DE ESTADO DA SAUDE,SECRETARIA DE ESTADO DA SAUDE SUSAM,SPA ZONA SUL,PRONTO ATENDIMENTO,,,E,RUA BENTO JOSE DE LIMA,33,COLONIA OLIVEIRA MAC,69060000,Norte,AM,Manaus,(92) 3623-4300,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE URGENCIA E EMERGENCIA| SERVICO DE URGENCIA E EMERGENCIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR IMAGEM,-3.10858,-60.00941,CNES_GEO
6283608,130420,04426383000115,PREFEITURA MUNICIPAL DE TEFE,PREFEITURA MUNICIPAL DE TEFE,POSTO DE SAUDE SAO FRANCISCO,POSTO DE SAUDE,,,M,ESTRADA DA EMADE,S/N,COMUNIDADE SAO FRANC,69550005,Norte,AM,Tefé,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO POSTO DE COLETA DE MATERIAIS  BIOLOGICOS,-3.43633890151968,-64.7052240371685,PMAQ
7019599,130260,04461836000144,SECRETARIA MUNICIPAL DE SAUDE,SECRETARIA MUNICIPAL DE SAUDE DE MANAUS,UNIDADE DE SUPORTE AVANCADO USA 08,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,,,M,AVENIDAD BRASIL,3078,COMPENSA,69036115,Norte,AM,Manaus,92 36254579,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE ATENDIMENTO MOVEL DE URGENCIAS,-3.102,-60.025,CNES_GEO
6130801,130260,,,CENTRO MEDICO E REABILITACAO LTDA,DIAGNOSTICO CENTRO MEDICO,CLINICA/CENTRO DE ESPECIALIDADE,,,M,AVENIDA LEONARDO MALCHER,1237,CENTRO,69010170,Norte,AM,Manaus,(92)36333031,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA,-3.12678,-60.02473,CNES_GEO
7091699,130140,04190765000192,PREFEITURA MUNICIPAL DE EIRUNEPE,PREFEITURA MUNICIPAL DE EIRUNEPE,CAPS EIRUNEPE,CENTRO DE ATENCAO PSICOSSOCIAL,,,D,RUA OTAVIANO MELO,S/N,NOSSA SENHORA DE FAT,69880000,Norte,AM,Eirunepé,97-34811208,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO PSICOSSOCIAL,-6.66,-69.874,CNES_GEO
5251079,130260,,,ANTONIO DA COSTA GUIMAS,ANTONIO DA COSTA GUIMAS,CONSULTORIO ISOLADO,,,M,RUA SAO LUIZ,230,ADRIANOPOLIS,69057250,Norte,AM,Manaus,92 36356971,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR IMAGEM,-3.08627,-59.98088,CNES_GEO
