co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
5016029,160030,,,ELIENAI COTRIM HERINGER TEBAS,ELENAI COTRIM HERINGER TEBAS,CONSULTORIO ISOLADO,,,E,AV COARACY NUNES,1123,CENTRAL,68900010,Norte,AP,Macapá,(96) 32233682,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO EM SAUDE BUCAL,0.03246,-51.05228,CNES_GEO
3523845,160030,,,H ADACHI ARAUJO ME,ADACHI OFTALMOLOGIA,CLINICA/CENTRO DE ESPECIALIDADE,,,E,ROD JUCELINO KUTSCHEK,1297,JARDIM MARCO ZERO,68905160,Norte,AP,Macapá,(96)2235100,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE OFTALMOLOGIA,0.03935,-51.07256,CNES_GEO
6942067,160030,23086176000103,SECRETARIA DE ESTADO DA SAUDE DO AMAPA,SECRETARIA DE ESTADO DA SAUDE DO AMAPA,SES AP USA 202 SAMU 192,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,,,E,RUA JOVINO DINOA,S/N,BEIROL,68902030,Norte,AP,Macapá,,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE ATENDIMENTO MOVEL DE URGENCIAS,0.0322,-51.06019,CNES_GEO
7555717,160030,,,MARQUES DA ROCHA FISIOTERAPIA LTDA ME,CLINICENTER CLINICA DE FISIOTERAPIA,CLINICA/CENTRO DE ESPECIALIDADE,,,E,AVENIDA CARLOS GOMES,990,SANTA RITA,68901077,Norte,AP,Macapá,96 3242-6160,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA,0.0433886,-51.0663746,GOOGLE
2597519,160060,,,ASSOCIACAO A NOSSA FAMILIA,CENTRO DE SAUDE PEDIATRICO PADRE LUIZ MONZA,CLINICA/CENTRO DE ESPECIALIDADE,,,M,AVN CASTRO ALVES,S/N,FONTE NOVA,68925225,Norte,AP,Santana,(96)2821271,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS",-0.03253,-51.17521,CNES_GEO
7277083,160020,05990437000133,PREFEITURA MUNICIPAL DE CALCOENE,PREFEITURA MUNICIPAL DE CALCOENE,PMC UNIDADE DE VIGILANCIA SANITARIA,UNIDADE DE VIGILANCIA EM SAUDE,,,M,RUA JOAO ANASTACIO DOS SANTOS,00,CENTRO,68960000,Norte,AP,Calçoene,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE,2.498,-50.949,CNES_GEO
2021463,160050,23086176000103,SECRETARIA DE ESTADO DA SAUDE DO AMAPA,SECRETARIA DE ESTADO DA SAUDE DO AMAPA,SES AP HOSPITAL ESTADUAL DE OIAPOQUE,HOSPITAL GERAL,,,E,RUA PRESIDENTE KENNEDY,700,CENTRO,68980000,Norte,AP,Oiapoque,(96)5211280,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)","SERVICO DE FISIOTERAPIA| SERVICO DE HEMOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE FISIOTERAPIA| ATENÇÃO ÀS PESSOAS EM SITUAÇÃO DE VIOLENCIA SEXUAL| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE URGENCIA E EMERGENCIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FISIOTERAPIA| SERVICO DE URGENCIA E EMERGENCIA| SERVICO DE ATENCAO PSICOSSOCIAL| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE HEMOTERAPIA| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO",3.83148,-51.83544,CNES_GEO
7022697,160060,,,LABORATORIO SANTANA LTDA,LABORATORIO SANTANA,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,AV SANTANA,1938,CENTRAL,68925000,Norte,AP,Santana,9632830587,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-0.02646,-51.1771,CNES_GEO
7397119,160060,,,RODRIGUES E SILVA JUNIOR LTDA,CENTRO DE DIAGNOSTICO DO AMAPA,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,AV CASTELO BRANCO,1648,PARAISO,68925000,Norte,AP,Santana,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-0.0343571,-51.1781647,GOOGLE
3043088,160030,05995766000177,PREFEITURA MUNICIPAL DE MACAPA,MUNICIPIO DE MACAPA,DPT DE VIG SANIT E CONT DE ZOONOSES,UNIDADE DE VIGILANCIA EM SAUDE,,,M,RUA ELIEZER LEVY,513,JULIAO RAMOS,68908183,Norte,AP,Macapá,(96)2131137,ATENDIMENTO SOMENTE A TARDE,SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE,0.03012,-51.07198,CNES_GEO
