co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
3266885,230430,07595572000100,,PREFEITURA MUNICIPAL DE FARIAS BRITO,CEO CENTRO DE ESPECIALIDADES ODONTOLOGICAS DE FARIAS BRITO,CLINICA/CENTRO DE ESPECIALIDADE,,,M,RUA JOSE LIBERALINO DUARTEE,96,CENTRO,63185000,Nordeste,CE,Farias Brito,(88) 3544 1223,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",SERVICO DE DISPENSACAO DE ORTESES PROTESES E MATERIAIS ESPE| SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE LABORATORIO DE PROTESE DENTARIA| SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE ATENCAO EM SAUDE BUCAL,-6.92677,-39.57367,CNES_GEO
3187500,230420,,,CLINICA DE DENSIOMETRIA OSSEA DO CARIRI,CLINICA DE DENSIOMETRIA OSSEA DO CARIRI,CLINICA/CENTRO DE ESPECIALIDADE,,,M,SETE DE SETEMBRO,50,SAO MIGUEL,63122420,Nordeste,CE,Crato,(88)5231363,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MEDICINA NUCLEAR,-7.23296,-39.40413,CNES_GEO
5275644,230940,07982010000119,PREF M NOVO ORIENTE,PREF M NOVO ORIENTE,POSTO DE SAUDE LAGOA TIGRE NORTE,CENTRO DE SAUDE/UNIDADE BASICA,,,M,AV RIO BRANCO,480,CENTRO,63740000,Nordeste,CE,Novo Oriente,36291165,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"TELECONSULTORIA| TELECONSULTORIA| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE CONTROLE DE TABAGISMO| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| TELECONSULTORIA",-5.53175568580611,-40.7856917381275,PMAQ
2526964,230780,07566516000147,PREFEITURA MUNICIPAL DE MARCO,FUNDO MUNICIPAL DE SAUDE DE MARCO,CENTRO DE SAUDE FRANCISCO ODEON SILVA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,PRACA JOSE TUPINANBA DA FROTA,S/N,CENTRO,62560000,Nordeste,CE,Marco,(88)36641223,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO INTEGRAL EM HANSENIASE| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| ESTRATEGIA DE AGENTES COMUNITARIOS DE SAUDE| SERVICO DE VIGILANCIA EM SAUDE| ESTRATEGIA DE SAUDE DA FAMILIA,-3.120707025,-40.1516436427496,PMAQ
7547560,230440,,,CLINICA DOUTOR ROBERTO ALENCAR LTDA,CLINICA DOUTOR ROBERTO ALENCAR LTDA,CLINICA/CENTRO DE ESPECIALIDADE,,,M,AV SANTOS DUMONT,5753,PAPICU,60175045,Nordeste,CE,Fortaleza,32141402,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO EM SAUDE BUCAL,-3.71701,-38.53926,SEDE MUNICIPIO
5626528,230480,41342098000142,PREF MUNICIPAL DE  GRANJEIRO,PREF MUNICIPAL DE GRANJEIRO,CENTRO DE ESPECIALIDADE ODONTOLOGICA DE GRANJEIRO,CLINICA/CENTRO DE ESPECIALIDADE,,,M,RUA DO CRUZEIRO,452,CENTRO,63230000,Nordeste,CE,Granjeiro,08892875115,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE DISPENSACAO DE ORTESES PROTESES E MATERIAIS ESPE| SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE LABORATORIO DE PROTESE DENTARIA| SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE ATENCAO EM SAUDE BUCAL,-6.88616,-39.21988,CNES_GEO
3170144,230440,,,RITMOCORDIS LABORATORIO DE ARRITMIA E MARCAPASSO DO CEARA LT,RITMOCORDIS,CLINICA/CENTRO DE ESPECIALIDADE,,,M,RUA JOSE LOURENCO,777,MEIRELES,60115280,Nordeste,CE,Fortaleza,(85)2619963,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS,-3.7306,-38.50637,CNES_GEO
6157122,230440,,,FABIOLA PEREIRA FALCAO,FABIOLA PEREIRA FALCAO,CONSULTORIO ISOLADO,,,M,AV DESEMBARGADOR COLOMBO DE SOUSA,856,VARJOTA,60175410,Nordeste,CE,Fortaleza,32671898,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA,-3.79649,-38.49584,CNES_GEO
2552302,230427,12465068000125,PREFEITURA MUNICIPAL DE ERERE,PREFEITURA MUNICIPAL DE ERERE,UNIDADE BASICA DE SAUDE FRANCISCO PAIVA DE ANDRADE,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA CAPITAO DAMIAO PORTO,S/N,FRANCISCO NOGUEIRA,63470000,Nordeste,CE,Ererê,88 34341063,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE APOIO A SAUDE DA FAMILIA",-6.03133272993446,-38.3472589620963,PMAQ
5356873,230440,,,NAITA PONTE COSTA MOREIRA,NAITA PONTE COSTA MOREIRA,CONSULTORIO ISOLADO,,,M,RUA PADRE ANTONIO TOMAZ,2610,COCO,60110110,Nordeste,CE,Fortaleza,32587843,ATENDIMENTO SOMENTE A TARDE,SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA,-3.74183,-38.49407,CNES_GEO
