co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
11150,530010,00394700000108,SECRETARIA DE ESTADO DE SAUDE DO DISTRITO FEDERAL,UNIDADE BASICA DE SAUDE N 2 ASA SUL,UBS 02 ASA SUL,CENTRO DE SAUDE/UNIDADE BASICA,,,E,SGAS QUADRA 612 LOTES,S/N,ASA SUL,70200720,Centro-Oeste,DF,Brasília,(61) 33452873,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE PRATICAS INTEGRATIVAS E COMPLEMENTARES| SERVICO DE PRATICAS INTEGRATIVAS E COMPLEMENTARES| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE PRATICAS INTEGRATIVAS E COMPLEMENTARES| ATENÇÃO ÀS PESSOAS EM SITUAÇÃO DE VIOLENCIA SEXUAL| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE",-15.8326828479762,-47.9096817970262,PMAQ
10456,530010,00394700000108,SECRETARIA DE ESTADO DE SAUDE DO DISTRITO FEDERAL,DISTRITO FEDERAL SECRETARIA DE SAUDE,HBDF HOSPITAL DE BASE DO DISTRITO FEDERAL,HOSPITAL GERAL,,,E,SMHS QUADRA,101,PLANO PILOTO,70310500,Centro-Oeste,DF,Brasília,61 3254050,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)","SERVICO DE OFTALMOLOGIA| SERVICO DE REABILITACAO| SERVICO DE ATENCAO EM NEUROLOGIA / NEUROCIRURGIA| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| TRANSPLANTE| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ATENCAO CARDIOVASCULAR / CARDIOLOGIA| SERVICO DE ATENCAO DOMICILIAR| SERVICO DE ATENCAO A SAUDE REPRODUTIVA| SERVICO DE PRATICAS INTEGRATIVAS E COMPLEMENTARES| SERVICO DE LABORATORIO DE HISTOCOMPATIBILIDADE| SERVICO DE ENDOSCOPIA| SERVICO DE ATENCAO CARDIOVASCULAR / CARDIOLOGIA| SERVICO DE LABORATORIO DE HISTOCOMPATIBILIDADE| SERVICO DE ENDOSCOPIA| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ONCOLOGIA| SERVICO DE ATENCAO PSICOSSOCIAL| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO| SERVICO DE PNEUMOLOGIA| SERVICO DE FISIOTERAPIA| CIRURGIA VASCULAR| SERVICO DE SUPORTE NUTRICIONAL| SERVICO DE HEMOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE PNEUMOLOGIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE ATENCAO CARDIOVASCULAR / CARDIOLOGIA| SERVICO DE HEMOTERAPIA| SERVICO DE ENDOSCOPIA| SERVICO DE ENDOSCOPIA| SERVICO DE ATENCAO CARDIOVASCULAR / CARDIOLOGIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE ATENCAO EM NEUROLOGIA / NEUROCIRURGIA| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| SERVICO DE ONCOLOGIA| SERVICO DE TRAUMATOLOGIA E ORTOPEDIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE SUPORTE NUTRICIONAL| ATENCAO A DOENÇA RENAL CRONICA| SERVICO DE PRATICAS INTEGRATIVAS E COMPLEMENTARES| SERVICO DE ATENCAO EM NEUROLOGIA / NEUROCIRURGIA| SERVICO DE ONCOLOGIA| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| SERVICO DE TRIAGEM NEONATAL| SERVICO DE ATENCAO CARDIOVASCULAR / CARDIOLOGIA| SERVICO POSTO DE COLETA DE MATERIAIS  BIOLOGICOS| SERVICO DE HEMOTERAPIA| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE OFTALMOLOGIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE ONCOLOGIA| SERVICO DE TRAUMATOLOGIA E ORTOPEDIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| MEDICINA NUCLEAR| SERVICO DE REABILITACAO| SERVICO DE HEMOTERAPIA| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| SERVICO DE ATENCAO EM NEUROLOGIA / NEUROCIRURGIA| SERVICO DE FISIOTERAPIA| SERVICO DE ATENCAO EM NEUROLOGIA / NEUROCIRURGIA| CIRURGIA VASCULAR| SERVICO DE SUPORTE NUTRICIONAL| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| TRANSPLANTE| SERVICO DE ATENCAO EM NEUROLOGIA / NEUROCIRURGIA| SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE ATENCAO EM NEUROLOGIA / NEUROCIRURGIA| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE OFTALMOLOGIA| SERVICO DE ATENCAO PSICOSSOCIAL| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE URGENCIA E EMERGENCIA| ATENCAO EM UROLOGIA| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| TRANSPLANTE| SERVICO DE ATENCAO EM NEUROLOGIA / NEUROCIRURGIA| SERVICO DE FARMACIA| TRANSPLANTE| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| TRANSPLANTE| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| MEDICINA NUCLEAR| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| ATENCAO A DOENÇA RENAL CRONICA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE TRAUMATOLOGIA E ORTOPEDIA| SERVICO DE URGENCIA E EMERGENCIA| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE ATENCAO CARDIOVASCULAR / CARDIOLOGIA| SERVICO DE VIDEOLAPAROSCOPIA| SERVICO DE FISIOTERAPIA| SERVICO DE ATENCAO DOMICILIAR| SERVICO DE CONTROLE DE TABAGISMO| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| ATENCAO A DOENÇA RENAL CRONICA| SERVICO DE DIAGNOSTICO POR IMAGEM",-15.80284,-47.88967,CNES_GEO
7579144,530010,,,A FOCUS DIAGNOSTICO POR IMAGEM E APOIO ADMINISTRATIVO LTDA,A FOCUS DIAGNOSTICOS POR IMAGEM,CLINICA/CENTRO DE ESPECIALIDADE,,,E,STN CJ M ENTRADA B CONS 256 257 258 259 260,S/N,ASA NORTE,70770909,Centro-Oeste,DF,Brasília,35515130,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE DIAGNOSTICO POR IMAGEM",-15.77463,-47.92463,SEDE MUNICIPIO
7711379,530010,,,VILLALVA E AKUAMOA SERVICOS MEDICOS LTDA,RENOVARE UROLOGIA,CLINICA/CENTRO DE ESPECIALIDADE,,,E,SEPS EQ 709 909 CONJUNTO A BLOCO B SALA 413,S/N,ASA SUL,70390095,Centro-Oeste,DF,Brasília,6132977561,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR IMAGEM| ATENCAO EM UROLOGIA,-15.77463,-47.92463,SEDE MUNICIPIO
7646526,530010,,,REDE DOR SAO LUIZ,AMBULATORIO HSL,CLINICA/CENTRO DE ESPECIALIDADE,,,E,STHSL,716,ASA SUL,70390700,Centro-Oeste,DF,Brasília,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ONCOLOGIA| SERVICO DE DIAGNOSTICO POR IMAGEM| ATENCAO EM UROLOGIA| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO| SERVICO DE ONCOLOGIA| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO| SERVICO DE CIRURGIA TORACICA| SERVICO DE ATENCAO A SAUDE AUDITIVA| SERVICO DE ENDOSCOPIA,-15.77463,-47.92463,SEDE MUNICIPIO
3667219,530010,,,CENTRO DE REABILITACAO ORAL TANIA MAGALHAES LTDA ME,CENTRO DE REABILITACAO ORAL TANIA MAGALHAES LTDA,CONSULTORIO ISOLADO,,,E,SEP SUL EQ 714 914 CONJUNTO E,S/N,ASA SUL,70390145,Centro-Oeste,DF,Brasília,61 32025322,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO EM SAUDE BUCAL,-15.82332,-47.92631,CNES_GEO
7017413,530010,,,INSTITUTO DE PSICOLOGIA BEM ESTAR LTDA,INSTITUTO DE PSICOLOGIA BEM ESTAR,CONSULTORIO ISOLADO,,,E,SGAS 616 CONJUNTO A BLOCO C SALA,136,ASA SUL,70200760,Centro-Oeste,DF,Brasília,6132744643,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO PSICOSSOCIAL,-15.8269,-47.92902,CNES_GEO
3055450,530010,,,CBV CENTRO BRASILEIRO DA VISAO LTDA,CBV,HOSPITAL ESPECIALIZADO,,,E,SGAS QD 613 CONJ A BL A BL B CONSULT 101 A 108,S/N,ASA SUL,70200730,Centro-Oeste,DF,Brasília,61 32145012,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE OFTALMOLOGIA| SERVICO DE OFTALMOLOGIA| TRANSPLANTE| SERVICO DE OFTALMOLOGIA,-15.81953,-47.92357,CNES_GEO
3211541,530010,,,CLINICA DE MAMOGRAFIA DE BRASILIA LTDA,CLINICA JANICE LAMAS,CLINICA/CENTRO DE ESPECIALIDADE,,,E,SHLS QDA 716 BL F SALAS 301 303 503 504 508 511,S/N,ASA SUL,70390700,Centro-Oeste,DF,Brasília,32135178,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR IMAGEM,-15.82629,-47.9289,CNES_GEO
3438600,530010,,,CARDIOCARE DF CLINICA CARDIOLOGICA SOCIEDADE SIMPLES PURA,CARDIOCARE,CLINICA/CENTRO DE ESPECIALIDADE,,,E,SHLS QD 716 CONJ B BL 05,S/N,ASA SUL,70310500,Centro-Oeste,DF,Brasília,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS,-15.78014,-47.92916,CNES_GEO
