co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
6254292,320520,,,EDIVAL BAZZARELLA FONSECA,EDIVAL BAZZARELLA FONSECA,CONSULTORIO ISOLADO,,,M,RUA ARARIBOIA,532,CENTRO,29100340,Sudeste,ES,Vila Velha,32291772,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE ATENCAO EM SAUDE BUCAL,-20.33628,-40.2963,CNES_GEO
2484110,320410,,,LABORATORIO MAIA LTDA EPP,LABORATORIO MAIA LTDA EPP,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,RUA GENERAL RONDON,34,CENTRO,29980000,Sudeste,ES,Pinheiros,(27)37652043,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO POSTO DE COLETA DE MATERIAIS  BIOLOGICOS,-18.406,-40.225,CNES_GEO
6934358,320503,,,HW LABORATORIO DE ANALISES CLINICAS LTDA ME,LAB MED,LABORATORIO DE SAUDE PUBLICA,,,M,RUA NESTOR GOMES,149,CENTRO,29295000,Sudeste,ES,Vargem Alta,02835281448,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO,-20.67385,-41.01085,CNES_GEO
6763979,320530,,,MAYRA VIEIRA MORAES,MAYRA VIEIRA MORAES,CONSULTORIO ISOLADO,,,E,RUA ITALINA PEREIRA MOTTA,440,JARDIM CAMBURI,29090370,Sudeste,ES,Vitória,27 - 33378678,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO EM SAUDE BUCAL,-20.25733,-40.26692,CNES_GEO
2678934,320030,27142686000101,PREFEITURA MUNICIPAL DE ALFREDO CHAVES,PREFEITURA MUNICIPAL DE ALFREDO CHAVES,CLINICA ODONTOLOGICA MUNICIPAL,CLINICA/CENTRO DE ESPECIALIDADE,,,M,RUA DONA MACRINA,76,MACRINA,29240000,Sudeste,ES,Alfredo Chaves,(27)32692320,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO EM SAUDE BUCAL,-20.63344,-40.75262,CNES_GEO
11916,320530,27142058000126,PREFEITURA MUNICIPAL DE VITORIA,MUNICIPIO DE VITORIA,UNIDADE BASICA DE SAUDE ILHA DO PRINCIPE,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA FENELON GOMES,112,ILHA DO PRINCIPE,29020380,Sudeste,ES,Vitória,(27)31325088/2116,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE PRATICAS INTEGRATIVAS E COMPLEMENTARES| SERVICO POSTO DE COLETA DE MATERIAIS  BIOLOGICOS| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE CONTROLE DE TABAGISMO",-20.3230348,-40.3492977,PMAQ
3168042,320530,,,PRO COLUNA CLINICA DA COLUNA VERTEBRAL LTDA,PRO COLUNA,CLINICA/CENTRO DE ESPECIALIDADE,,,E,RUA EUGENIO NETO,488,PRAIA DO CANTO,29055270,Sudeste,ES,Vitória,(27)32003595,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE TRAUMATOLOGIA E ORTOPEDIA,-20.30381,-40.29653,CNES_GEO
6024769,320520,,,JORGE ARMANDO CORDOVA GUZMAN,CLINICA DE OLHOS,CONSULTORIO ISOLADO,,,M,RUA CABO AILSON SIMOES,560,CENTRO,29100320,Sudeste,ES,Vila Velha,27 32391293,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE OFTALMOLOGIA,-20.34274,-40.29283,CNES_GEO
6386121,320040,,,CENTRO DE ESPECIALIDADES ESPIRITO SANTO LTDA,CENTRO DE ESPECIALIDADES ESPIRITO SANTO LTDA,CLINICA/CENTRO DE ESPECIALIDADE,,,M,RUA COSTA PEREIRA,S/N,CENTRO,29230000,Sudeste,ES,Anchieta,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE TRAUMATOLOGIA E ORTOPEDIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE TRAUMATOLOGIA E ORTOPEDIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ATENCAO PSICOSSOCIAL| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE TRAUMATOLOGIA E ORTOPEDIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-20.80421,-40.65439,CNES_GEO
3750434,320320,,,JORGE ALBERTO FRIGINI PINTO,JORGE ALBERTO FRIGINI PINTO,CONSULTORIO ISOLADO,,,M,AV JOAO FELIPE CALMON,978,CENTRO,29900010,Sudeste,ES,Linhares,(27)-3264-3671,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ENDOSCOPIA,-19.40543,-40.07473,CNES_GEO
3424235,320520,,,PRE NATAL CLINICA ESPECIALIZADA LTDA EPP,LAP LABORATORIO,CLINICA/CENTRO DE ESPECIALIDADE,,,M,JERONIMO MONTEIRO,1045,GLORIA,29122725,Sudeste,ES,Vila Velha,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-20.33727,-40.31512,CNES_GEO
3038467,320530,27142058000126,PREFEITURA MUNICIPAL DE VITORIA,MUNICIPIO DE VITORIA,CENTRO MUNICIPAL DE ESPECIALIDADES DE VITORIA,POLICLINICA,,,M,AVENIDA DARIO LOURENCO DE SOUZA,120,MARIO CYPRESTE,29027215,Sudeste,ES,Vitória,27 - 33221310,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE","SERVICO DE OFTALMOLOGIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DISPENSACAO DE ORTESES PROTESES E MATERIAIS ESPE| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE OFTALMOLOGIA| SERVICO DE ENDOCRINOLOGIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE LABORATORIO DE PROTESE DENTARIA| SERVICO DE OFTALMOLOGIA| SERVICO DE ENDOSCOPIA| SERVICO DE REABILITACAO| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE PRATICAS INTEGRATIVAS E COMPLEMENTARES| SERVICO DE FISIOTERAPIA| SERVICO DE PRATICAS INTEGRATIVAS E COMPLEMENTARES| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE REABILITACAO| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DIAGNOSTICO POR IMAGEM",-20.32029,-40.34081,CNES_GEO
7421338,320280,27174168000170,PREFEITURA MUNICIPAL DE ITAPEMIRIM,PREFEITURA MUNICIPAL DE ITAPEMIRIM,FARMACIA BASICA MUNICIPAL,FARMACIA,,,M,AV CRISTIANO DIAS LOPES FILHO,S/N,CENTRO,29330000,Sudeste,ES,Itapemirim,28 3529-6034,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE FARMACIA| SERVICO DE FARMACIA,-21.00678,-40.83367,SEDE MUNICIPIO
5354099,320530,,,VIRCHOW LABORATORIO DE CITO E HISTOPATOLOGIA LTDA,VIRCHOW LABORATORIO DE CITO E HISTOPATOLOGIA LTDA,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,E,RUA MISAEL PEDREIRA DA SILVA PILOTIS,70,SANTA LUCIA,29056920,Sudeste,ES,Vitória,27 - 32256012,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO,-20.30941,-40.30252,CNES_GEO
3950360,320320,,,CENTRO ORTOPEDICO DE LINHARES LTDA ME,CENTRO ORTOPEDICO DE LINHARES,CLINICA/CENTRO DE ESPECIALIDADE,,,M,AV AUGUSTO PESTANA,1471,CENTRO,29900182,Sudeste,ES,Linhares,(027)3371-3516,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE TRAUMATOLOGIA E ORTOPEDIA,-19.40147,-40.07428,CNES_GEO
7394071,320520,,,SIMONE AGOSTINHO DE OLIVEIRA,SIMONE AGOSTINHO DE OLIVEIRA,CONSULTORIO ISOLADO,,,M,RUA DOM PEDRO II,58,GLORIA,29122300,Sudeste,ES,Vila Velha,027 32292997,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE ATENCAO EM SAUDE BUCAL,-20.32463,-40.28893,SEDE MUNICIPIO
2485842,320520,,,LABORATORIO DE ANALISES CLINICAS SAO LUCAS LTDA EPP,LABORATORIO SAO LUCAS,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,PROFESSOR AUGUSTO RUSCHI,600,PRAIA DE ITAPARICA,29102080,Sudeste,ES,Vila Velha,27 33297671,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO POSTO DE COLETA DE MATERIAIS  BIOLOGICOS| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-20.34274,-40.29283,CNES_GEO
