co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
2441500,521900,02164804000151,,PREFEITURA MUNIUCIPAL DE SANCLERLANDIA,HOSPITAL MUNICIPAL SAO VICENTE DE PAULA,HOSPITAL GERAL,,,M,AV NORTE SUL,1128,CENTRO,76160000,Centro-Oeste,GO,Sanclerlândia,(62)36791745,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)","SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR IMAGEM| ATENÇÃO ÀS PESSOAS EM SITUAÇÃO DE VIOLENCIA SEXUAL| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS",-16.20069,-50.31236,CNES_GEO
2570718,521180,,,CENTRO RADIOLOGICO DE JARAGUA,CENTRO RADIOLOGICO DE JARAGUA,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,AVN DIONY GOMES PEREIRA DA SILVA,121,AEROPORTO,76330000,Centro-Oeste,GO,Jaraguá,(62)3261884,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR IMAGEM,-15.757,-49.334,CNES_GEO
5804396,522140,,,ALESSANDRA MARQUES OLIVEIRA,ALESSANDRA MARQUES OLIVEIRA,CONSULTORIO ISOLADO,,,M,RUA MINAS GERAIS,201,CENTRO,75388680,Centro-Oeste,GO,Trindade,35052711,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE ATENCAO EM SAUDE BUCAL,-16.65911,-49.47929,CNES_GEO
2706644,520140,,,HELILAB LABORATORIO DE ANALISES CLINICAS LTDA,HELILAB LABORATORIO DE ANALISES CLINICAS,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,AV W5,S/N,JD OLIMPICO,74980970,Centro-Oeste,GO,Aparecida de Goiânia,(62)2820003,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-16.82468,-49.24249,CNES_GEO
6064493,521800,,,LABORATORIO SAO PAULO DE PORANGATU LTDA,LABORATORIO SAO PAULO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,RUA 09,18,CENTRO,76550000,Centro-Oeste,GO,Porangatu,(62)3672232,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO,-13.43424,-49.13504,CNES_GEO
2440563,521440,01373620000139,PREFEITURA MUNICIPAL DE NAZARIO,MUNICIPIO DE NAZARIO,UNIDADE DE SAUDE DA FAMILIA III NAZARIO,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA 05 ESQ C AV DR GERALDO NEY,S/N,CENTRO,76180000,Centro-Oeste,GO,Nazário,(64)35701220,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE VIGILANCIA EM SAUDE| ATENÇÃO ÀS PESSOAS EM SITUAÇÃO DE VIOLENCIA SEXUAL| SERVICO POSTO DE COLETA DE MATERIAIS  BIOLOGICOS| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",-16.5642929077144,-49.7723364830003,PMAQ
3498425,520870,,,CLINICA CIRUGICA DIGESTIVA E OBESIDADE LTDA,CCDO CLINICA CIRURGICA DIGESTIVA E OBESIDADE,POLICLINICA,,,M,RUA 1125,207,SETOR MARISTA,74175090,Centro-Oeste,GO,Goiânia,62 - 32420797,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ENDOSCOPIA,-16.70882,-49.26248,CNES_GEO
2570696,521310,,,ARMANDO CRUZ FURTADO DE OLIVEIRA CIA LTDA ME,LAPC LABORATORIO DE ANATOMIA PATOLOGICA E CITOPATOLOG,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,15,62,CENTRO,75830000,Centro-Oeste,GO,Mineiros,64 36615054,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO,-17.57865,-52.54239,CNES_GEO
2438364,520110,01067479000146,PREFEITURA MUNICIPAL DE ANAPOLIS SMS,PREF MUN DE ANAPOLIS,ESF ADRIANA PARQUE,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA G ESQUINA COM RUA LILIAN,S/N,JANDAIA,75053310,Centro-Oeste,GO,Anápolis,(62)39022677,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE CONTROLE DE TABAGISMO",-16.2775433063502,-48.9868354797349,PMAQ
2337851,520870,,,CLINICA INFANTIL DE CAMPINAS LTDA,HOSPITAL INFANTIL DE CAMPINAS,HOSPITAL ESPECIALIZADO,,,M,AV PARA,400,SETOR CAMPINAS,74520100,Centro-Oeste,GO,Goiânia,62 - 32913366,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE FARMACIA| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ENDOSCOPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE HEMOTERAPIA| SERVICO DE HEMOTERAPIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE HEMOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE HEMOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA,-16.5984,-49.28653,CNES_GEO
5127483,520870,,,LUZIMAR SIFUENTES DA SILVA,LUZIMAR SIFUENTES DA SILVA,CONSULTORIO ISOLADO,,,M,AVENIDA T 63,3182,SETOR BUENO,74230100,Centro-Oeste,GO,Goiânia,62 - 39549739,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE ATENCAO EM SAUDE BUCAL,-16.64597,-49.38683,CNES_GEO
5444330,520540,01131713000157,,PREFEITURA MUNICIPAL DE CERES,UNIDADE BASICA DE SAUDE SAO FRANCISCO,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA 06 LT29 QD 3640,1,SAO FRANCISCO,76300000,Centro-Oeste,GO,Ceres,(62)3073800,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE CONTROLE DE TABAGISMO| SERVICO POSTO DE COLETA DE MATERIAIS  BIOLOGICOS| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",-15.3155100345607,-49.5962119102464,PMAQ
7541287,522130,01304286000161,,FUNDO MUNICIPAL DE SAUDE DE TRES RANCHOS,CAPS TRES RANCHOS,CENTRO DE ATENCAO PSICOSSOCIAL,,,M,RUA JOAO ELIAS DA SILVA,26,CENTRO,75720000,Centro-Oeste,GO,Três Ranchos,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO PSICOSSOCIAL,-18.35237,-47.77633,SEDE MUNICIPIO
6250637,520870,,,CAMILA AZEVEDO DIAS,CAMILA AZEVEDO DIAS,CONSULTORIO ISOLADO,,,M,AV DA LIBERDADE,S/N,GARAVELO B,74354060,Centro-Oeste,GO,Goiânia,(62) 32886414,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE ATENCAO EM SAUDE BUCAL,-16.7108,-49.27694,CNES_GEO
