co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
2462729,210480,,,HOSPITAL SANTA NEUSA LTDA,HOSPITAL SANTA NEUSA LTDA,HOSPITAL GERAL,,,M,AV HILTON NUNES,784,RODOVIARIO,65940000,Nordeste,MA,Grajaú,(98)05326723,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)","SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE HEMOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE ATENCAO A SAUDE REPRODUTIVA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE HEMOTERAPIA| SERVICO DE HEMOTERAPIA| SERVICO DE FISIOTERAPIA| ATENCAO A SAUDE DA POPULACAO INDIGENA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO",-5.81801,-46.14414,CNES_GEO
2452316,211220,01803082000175,FUNDO MUNICIPAL DE SAUDE,PREFEITURA MUNICIPAL DE TIMON,E S F DO BAIRRO PARQUE PIAUI 11 24,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA 30,S/N,PARQUE PIAUI,65636440,Nordeste,MA,Timon,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO INTEGRAL EM HANSENIASE| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",-5.10068111012935,-42.8337278988596,PMAQ
7395302,210910,,,CET MEDICINA DIAGNOSTICA LTDA ME,CET MEDICINA DIAGNOSTICA,CLINICA/CENTRO DE ESPECIALIDADE,,,M,RUA PREFEITO NELSON SERENO,155,CENTRO,65760000,Nordeste,MA,Presidente Dutra,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-5.2874,-44.4874,SEDE MUNICIPIO
2451670,210100,06242846000114,PREFEITURA MUNICIPAL DE ARARI,PREFEITURA MUNICIPAL DE ARARI,UNIDADE BASICA DE SAUDE ANTONIA GARROS COSTA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,POV FELIX,S/N,POV FELIX,65480000,Nordeste,MA,Arari,( ),ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO DOMICILIAR| SERVICO DE ATENCAO A SAUDE DO TRABALHADOR| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE VIGILANCIA EM SAUDE| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",-3.48943591117849,-44.6477079391466,PMAQ
6742157,210047,01612832000121,PREFEITURA MUNICIPAL DE ALTO ALEGRE DO PINDARE,PREFEITURA MUNICIPAL DE ALTO ALEGRE DO PINDARE,SEMUS ALTO ALEGRE DO PINDARE,CENTRAL DE GESTAO EM SAUDE,,,M,RUA JP ALMEIDA,S/N,CENTRO,65398000,Nordeste,MA,Alto Alegre do Pindaré,98 3664-1266,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE,-3.68787,-45.84121,CNES_GEO
5835607,210140,,,A MARTINS CAVALLI ME,LAUDO LABORATORIO DE ANALISES CLINICAS,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,RUA JOSE LEAO,258,CENTRO,65800000,Nordeste,MA,Balsas,(99)99015111,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-7.53176,-46.0354,CNES_GEO
6157084,211400,12122065000199,PREFEITURA MUNICIPAL DE ZE DOCA,PREFEITURA DE MUNICIPAL DE ZE DOCA,POSTO DE SAUDE DA QUADRA QUEIROZ,CENTRO DE SAUDE/UNIDADE BASICA,,,M,QUADRA QUEIROZ,S/N,QUADRA QUEIROZ,65365000,Nordeste,MA,Zé Doca,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,ESTRATEGIA DE SAUDE DA FAMILIA,-3.34264397621145,-45.5357766151415,PMAQ
6245862,210598,01598548000148,PREFEITURA MUNICIPAL DE LAJEADO NOVO,PREFEITURA MUNICIPAL DE LAJEADO NOVO,UBS MICHELLY SERGIO DE OLIVEIRA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA DO CAMPO,S/N,PASSAGEM BOA,65937000,Nordeste,MA,Lajeado Novo,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE VIGILANCIA EM SAUDE| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",-6.10905289649946,-46.8230009078966,PMAQ
7447086,210530,,,DIAGSUL INSTITUTO DE MEDICINA DIAGNOSTICA LTDA ME,DIAGSUL,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,PARAIBA,864,CENTRO,65903310,Nordeste,MA,Imperatriz,99 91221948,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-5.5226,-47.48842,SEDE MUNICIPIO
2646099,211130,,,INSTITUTO DE RADIOLOGIA ODONTO DO MARANHAO LTDA,INSTITUTO DE RADIOLOGIA ODONTO DO MARANHAO LTDA,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,RUA DOS JENIPAPEIROS QD 22,18,SAO FRANCISCO,65076490,Nordeste,MA,São Luís,(98)2353719,ATENDIMENTO SOMENTE PELA MANHA,SERVICO DE DIAGNOSTICO POR IMAGEM,-2.51536,-44.29769,CNES_GEO
6095216,210870,06447833000181,PREFEITURA MUNICIPAL DE PIO XII,PREFEITURA MUNICIPAL DE PIO XII,UNIDADE DE SAUDE DA FAMILIA DO MAXIMIANO,CENTRO DE SAUDE/UNIDADE BASICA,,,M,MAXIMIANO,S/N,ZONA RURAL,65707000,Nordeste,MA,Pio XII,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE ATENCAO DOMICILIAR| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO DOMICILIAR| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",-3.899266719818,-45.1974320411669,PMAQ
3616819,210870,06447833000181,PREFEITURA MUNICIPAL DE PIO XII,PREFEITURA MUNICIPAL DE PIO XII,UNIDADE DE SAUDE DA FAMILIA VILA BATALHA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA DO TURISMO,S/N,TURISMO,65707000,Nordeste,MA,Pio XII,(98)36540522,ATENDIMENTO SOMENTE PELA MANHA,"ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE VIGILANCIA EM SAUDE",-3.88149976730335,-45.165030956267,PMAQ
6939414,211130,,,E C DE JESUS CIA LTDA,VITAL CLINIC,CONSULTORIO ISOLADO,,,M,RUA DA QUIMICA,02,COHAFUMA,65074730,Nordeste,MA,São Luís,(098) 3236-0714,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO EM SAUDE BUCAL,-2.53073,-44.30682,CNES_GEO
2451387,210560,06376974000150,PREFEITURA MUNICIPAL DE JOSELANDIA,PREFEITURA MUNICIPAL DE JOSELANDIA,U B S FRANCISCO ESCOCIO 1 PSFSB,CENTRO DE SAUDE/UNIDADE BASICA,,,M,POVOADO NOVA VIDA,S/N,POVOADO,65755000,Nordeste,MA,Joselândia,(99)6373027,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO DOMICILIAR| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE",-5.03698468208298,-44.7732567787157,PMAQ
