co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
6806570,500345,03903176000141,,MUNICIPIO DE DEODAPOLIS,ESTRATEGIA DE SAUDE DA FAMILIA SANTA MARIA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,AV FRANCISCO ALVES DA SILVA,188,CENTRO,79790000,Centro-Oeste,MS,Deodápolis,014-6734481925,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",-22.2727632522577,-54.1636919975265,PMAQ
6578500,500210,,,VALERIA DAVALO FERREIRA,REABILIT CONSULTORIO DE FISIOTERAPIA,CLINICA/CENTRO DE ESPECIALIDADE,,,M,ALMIRANTE BARROSO,S/N,CENTRO,79260000,Centro-Oeste,MS,Bela Vista,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE FISIOTERAPIA,-22.0825,-56.52588,CNES_GEO
7376618,500290,,,L A LEONEL ME,PROTESE DENTARIA LR,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,SEBASTIAO LEAL,368,CENTRO,79540000,Centro-Oeste,MS,Cassilândia,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE LABORATORIO DE PROTESE DENTARIA,-19.113,-51.734,CNES_GEO
2371332,500370,,,MISSAO EVANGELICA CAIUA,MISSAO CAIUA,HOSPITAL GERAL,,,M,ROV DOURADOSITAPORA,02,ZONA RURAL,79804970,Centro-Oeste,MS,Dourados,(67) 3421 4197,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)","SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO",-22.22632,-54.8107,CNES_GEO
6539696,500220,,,IVONE GOULART DA MATA,CLINICA FISIOLIFE,CLINICA/CENTRO DE ESPECIALIDADE,,,M,RUA LUIZ DA COSTA LEITE,1816,CENTRO,79290000,Centro-Oeste,MS,Bonito,(67) 3255-2711,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA,-21.13129,-56.48014,CNES_GEO
5865425,500370,,,UNIAUD UNIDADE AUDITIVA DE DOURADOS LTDA,UNIAUD SAUDE AUDITIVA,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,ANTONIO DE CARVALHO,1415,VILA TONANI,79826030,Centro-Oeste,MS,Dourados,067 9648 5151,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE REABILITACAO| SERVICO DE REABILITACAO| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO",-22.2258,-54.81457,CNES_GEO
6671837,500320,,,CENTRO DE MEDICINA EXAMES E DIAGNOSTICOS AVANCADOS LTDA EPP,CENTRO DE MEDICINA AVANCADO,POLICLINICA,,,M,RUA 15 DE NOVEMBRO,688,CENTRO,79330000,Centro-Oeste,MS,Corumbá,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE ENDOSCOPIA,-19.00466,-57.65595,CNES_GEO
3334406,500270,03501509000106,PREFEITURA MUNICIPAL DE CAMPO GRANDE,MUNICIPIO DE CAMPO GRANDE,UBSF NOVA ESPERANCA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA ANHUMAS,383,PIRATININGA,79081190,Centro-Oeste,MS,Campo Grande,67-33149518/33014301,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE PRATICAS INTEGRATIVAS E COMPLEMENTARES| ESTRATEGIA DE AGENTES COMUNITARIOS DE SAUDE,-20.443,-54.646,PMAQ
5670934,500270,,,CLINICA DE UROLOGIA SAO LUCAS S S EPP,UROLOGICA,POLICLINICA,,,M,RUA DAS GARCAS,542,SAO FRANCISCO,79010020,Centro-Oeste,MS,Campo Grande,67 - 33823119,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR IMAGEM,-20.45187,-54.60887,CNES_GEO
2558483,500380,,,MELO E STAUDT LTDA,FISIOCLINICA,CLINICA/CENTRO DE ESPECIALIDADE,,,M,RUA ANTONIO CELESWTINO DE CARVALHO,1080,UBATUBA,79700000,Centro-Oeste,MS,Fátima do Sul,67 34671615,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA,-22.374,-54.514,CNES_GEO
