co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
6467768,510610,03507514000126,PREFEITURA MUNICIPAL DE NOSSA SENHORA DO LIVRAMENTO,PREFEITURA MUNICIPAL DE NOSSA SENHORA DO LIVRAMENTO,SECRETARIA MUNICIPAL DE SAUDE DE NOSSA SENHORA DO LIVRAMENTO,CENTRAL DE GESTAO EM SAUDE,,,M,AVENIDA CORONEL BOTELHO,S/N,CENTRO,78170000,Centro-Oeste,MT,Nossa Senhora do Livramento,3351-1058,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE,-15.76909,-56.35166,CNES_GEO
6561934,510792,03239076000162,PREFEITURA MUNICIPAL DE SORRISO,MUNICIPIO DE SORRISO,NUCLEO DE APOIO A SAUDE DA FAMILIA NASF I SORRISO,CENTRO DE APOIO A SAUDE DA FAMILIA,,,M,AVENIDA BRASIL,S/N,CENTRO,78890000,Centro-Oeste,MT,Sorriso,66 35444015,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO PSICOSSOCIAL| SERVICO DE APOIO A SAUDE DA FAMILIA| SERVICO DE PRATICAS INTEGRATIVAS E COMPLEMENTARES| SERVICO DE PRATICAS INTEGRATIVAS E COMPLEMENTARES| SERVICO DE FISIOTERAPIA,-12.5379,-55.727,CNES_GEO
2655721,510180,03439239000150,PREFEITURA MUNICIPAL DE BARRA DO GARCAS,PREFEITURA MUNICIPAL DE BARRA DO GARCAS,PSF JARDIM PALMARES,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA OLIVIO ROBERTO BARBOSA,S/N,JARDIM PALMARES,78600000,Centro-Oeste,MT,Barra do Garças,(66) 34056842,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE CONTROLE DE TABAGISMO| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE",-15.8657598495479,-52.3234820365891,PMAQ
6997759,510730,,,DIRCELENE M RODRIGUES ME,ESPACO SAUDE,CLINICA/CENTRO DE ESPECIALIDADE,,,M,AVENIDA ARGENTINA,423,CENTRO,78435000,Centro-Oeste,MT,São José do Rio Claro,(65) 3386-1004,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE ATENCAO PSICOSSOCIAL| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA,-13.43167,-56.71387,CNES_GEO
7277547,510735,37465317000103,PREFEITURA MUNICIPAL DE SAO JOSE DO XINGU,PREFEITURA MUNICIPAL DE SAO JOSE DO XINGU,CENTRAL DE REGULACAO MUNICIPAL DE SAO JOSE DO XINGU,CENTRAL DE REGULACAO DO ACESSO,,,M,RUA HERMINIA QUITERIA DE JESUS,26,AYMORE,78663000,Centro-Oeste,MT,São José do Xingu,6635681370,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,REGULACAO DE ACESSO A ACOES E SERVICOS DE SAUDE,-10.804,-52.744,CNES_GEO
3116581,510340,,,SL SERVICOS MEDICOS LTDA,SL SERVICOS MEDICOS,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,AV RUBENS DE MENDONCA,898,LIXEIRA,78008000,Centro-Oeste,MT,Cuiabá,(65) 6127000,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ENDOSCOPIA,-15.58921,-56.08455,CNES_GEO
2699443,510320,15023930000138,PREFEITURA MUNICIPAL DE COLIDER,PREFEITURA MUNICIPAL DE COLIDER,POSTO DE SAUDE SAO JORGE,POSTO DE SAUDE,,,M,COMUNIDADE SAO JORGE,S/N,ZONA RURAL,78500000,Centro-Oeste,MT,Colíder,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE,-10.4674065113065,-55.4462385177596,PMAQ
3671976,510140,03507498000171,PREFEITURA MUNICIPAL DE ARIPUANA,PREFEITURA MUNICIPAL DE ARIPUANA,AGENCIA TRANSFUSIONAL DE ARIPUANA,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,RUA MANOEL LUIZ DE ABREU,941,CIDADE ALTA,78325000,Centro-Oeste,MT,Aripuanã,(66)5651400,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE HEMOTERAPIA,-10.167,-59.459,CNES_GEO
6991807,510340,,,CENTRO AVANCADO DE COLUNA LTDA,CEAC,CLINICA/CENTRO DE ESPECIALIDADE,,,M,AV ACLIMACAO,335,BOSQUE DA SAUDE,78050040,Centro-Oeste,MT,Cuiabá,3051-2237,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE TRAUMATOLOGIA E ORTOPEDIA,-15.60532,-56.06763,CNES_GEO
3114511,510340,,,VISION LASER LTDA,VISION LASER CIRURGIAS OFTALMOLOGICAS A LASER,CLINICA/CENTRO DE ESPECIALIDADE,,,M,AV DAS FLORES,843,JD CUIABA,78020300,Centro-Oeste,MT,Cuiabá,(65) 36242348,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE OFTALMOLOGIA,-15.61265,-56.10383,CNES_GEO
6640567,510630,,,MIGNOT ROCHA CIA LTDA,SERMED CLINICA MEDICA,CLINICA/CENTRO DE ESPECIALIDADE,,,M,RUA SAO FRANCISCO XAVIER,1415,CENTRO,78870000,Centro-Oeste,MT,Paranatinga,66 3573-2867,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE VIDEOLAPAROSCOPIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",-14.43464,-54.05155,CNES_GEO
2311496,510774,04178518000170,PREFEITURA MUNICIPAL DE SANTA CRUZ DO XINGU,PREFEITURA MUNICIPAL DE SANTA CRUZ DO XINGU,PRONTO ATENDIMENTO SANTA CRUZ DO XINGU,PRONTO ATENDIMENTO,,,M,RUA ARMANDO CESAR BUENO DE MORAIS,S/N,CENTRO,78664000,Centro-Oeste,MT,Santa Cruz do Xingu,(66)35941119,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE URGENCIA E EMERGENCIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO POSTO DE COLETA DE MATERIAIS  BIOLOGICOS| SERVICO DE VIGILANCIA EM SAUDE,-10.24145,-52.3721,CNES_GEO
6295762,510615,,,LABORATORIO LABORVALE LTDA,LABORATORIO LABORVALE,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,TRAVESSA COLORADO,S/N,CENTRO,78565000,Centro-Oeste,MT,Nova Bandeirantes,66 35721875,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-9.814,-57.862,CNES_GEO
6635490,510269,37465200000120,PREFEITURA MUNICIPAL DE CANABRAVA,PREFEITURA MUNICIPAL DE CANABRAVA DO NORTE,SECRETARIA MUNICIPAL DE SAUDE DE CANABRAVA DO NORTE,CENTRAL DE GESTAO EM SAUDE,,,M,RUA TAPIRAPE,S/N,CENTRO,78658000,Centro-Oeste,MT,Canabrava do Norte,6635771290,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE,-11.03923,-51.83149,CNES_GEO
2674920,510340,15084338000146,SECRETARIA MUNICIPAL DE SAUDE - SMS,PREFEITURA MUNICIPAL DE CUIABA,USF RIBEIRAO DA PONTE,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA BOLIVIA,2,RIBEIRAO DA PONTE,78008000,Centro-Oeste,MT,Cuiabá,(65) 3617-1692,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE ATENCAO INTEGRAL EM HANSENIASE| SERVICO DE CONTROLE DE TABAGISMO| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO POSTO DE COLETA DE MATERIAIS  BIOLOGICOS| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO",-15.5809950828548,-56.1199450492843,PMAQ
6993796,510760,,,R M A MENEGAZ SERVICOS MEDICOS ME,MENEGAZ SERVICOS,CONSULTORIO ISOLADO,,,M,RUA DOMINGOS DE LIMA,362,MONTE LIBANO,78710240,Centro-Oeste,MT,Rondonópolis,(66) 34266873,ATENDIMENTO SOMENTE A NOITE,SERVICO DE DIAGNOSTICO POR IMAGEM,-16.46456,-54.63324,CNES_GEO
2395029,510250,,,ALVARO AMERICO SABATINI ROCHA,LABORATORIO SAO LUCAS CACERES,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,PRACA MAJOR JOAO CARLOS,56,CENTRO,78200000,Centro-Oeste,MT,Cáceres,(65)02232130,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE LABORATORIO DE HISTOCOMPATIBILIDADE| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-16.06667,-57.68406,CNES_GEO
7464142,510310,00965145000127,PREFEITURA MUNICIPAL DE COCALINHO,PREFEITURA MUNICIPAL DE COCALINHO,PSF ZE SOZINHO,CENTRO DE SAUDE/UNIDADE BASICA,,,M,CALCARIO RONCADOR,S/N,ZONA RURAL,78680000,Centro-Oeste,MT,Cocalinho,66 35861589,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",-14.39181,-50.99096,SEDE MUNICIPIO
5078784,510300,03507530000119,PREFEITURA MUNICIPAL DE CHAPADA DOS GUIMARAES,PREFEITURA MUNICIPAL DE CHAPADA DOS GUIMARAES,UNIDADE DE SAUDE PRAIA RICA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,AVENIDA PRINCIPAL,S/N,PRAIA RICA,78195000,Centro-Oeste,MT,Chapada dos Guimarães,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,ESTRATEGIA DE SAUDE DA FAMILIA,-15.4605696789084,-55.745004517892,PMAQ
3342646,510340,,,A L BORBA,LABORATORIO LPC 2,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,AV HISTORIADOR RUBENS DE MENDONCA,5500,MORADA DO OURO,78050000,Centro-Oeste,MT,Cuiabá,(65) 6410555,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-15.5581,-56.06025,CNES_GEO
6377645,510340,,,GASTROPLAST CLINICA MEDICA ESPECIALIZADA LTDA ME,GASTROPLAST,CLINICA/CENTRO DE ESPECIALIDADE,,,M,MIGUEL SUTIL,8000,JARDIM MARIANA,78040400,Centro-Oeste,MT,Cuiabá,65 36265153,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ENDOSCOPIA,-15.58869,-56.11752,CNES_GEO
