co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
6604625,150180,02967936000111,SECRETARIA MUNICIPAL DE SAUDE DE BREVES - SEMSA,SECRETARIA MUNICIPAL DE SAUDE DE BREVES,SECRETARIA MUNICIPAL DE SAUDE DE BREVES,CENTRAL DE GESTAO EM SAUDE,,,M,AV WILSON FRAZAO,523,CENTRO,68800000,Norte,PA,Breves,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE ATENCAO DOMICILIAR,-1.68256,-50.48083,CNES_GEO
6658210,150410,05171947000189,,PREFEITURA MUNICIPAL DE MAGALHAES BARATA,SECRETARIA MUNICIPAL DE SAUDE DE MAGALHAES BARATA,CENTRAL DE GESTAO EM SAUDE,,,M,RUA NOVA 1,S/N,NOVO,68722000,Norte,PA,Magalhães Barata,(91)38123178,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE,-0.79798,-47.60275,CNES_GEO
2329417,150034,34671057000134,PREFEITURA MUNICIPAL DE AGUA AZUL DO NORTE,MUNICIPIO DE AGUA AZUL DO NORTE,NUCLEO DE APOIO A SAUDE DA FAMILIA,CENTRO DE APOIO A SAUDE DA FAMILIA,,,M,PAULO CARIOCA,S/N,BELA VISTA,68533000,Norte,PA,Água Azul do Norte,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE FISIOTERAPIA| SERVICO DE APOIO A SAUDE DA FAMILIA| SERVICO DE ATENCAO PSICOSSOCIAL| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE PRATICAS INTEGRATIVAS E COMPLEMENTARES,-6.80183,-50.4672,CNES_GEO
2316218,150630,04888517000110,,PREFEITURA MUNICIPAL DE SALVATERRA,UNIDADE DE SAUDE DA FAMILIA DE JUBIM,POSTO DE SAUDE,,,M,VILA DE JUBIM,S/N,CENTRO,68860000,Norte,PA,Salvaterra,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO DOMICILIAR| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",-0.761124158757217,-48.5115051269531,SISMOB
6046681,150130,05058458000115,SECRETARIA MUNICIPAL DE SAUDE DE BARCARENA,MUNICIPIO DE BARCAREA,SECRETARIA DE SAUDE DE BARCARENA,CENTRAL DE GESTAO EM SAUDE,,,M,RUA JOAO PANTOJA DE CASTRO,01,CENTRO,68445000,Norte,PA,Barcarena,91 37532063,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE| REGULACAO DE ACESSO A ACOES E SERVICOS DE SAUDE| REGULACAO DE ACESSO A ACOES E SERVICOS DE SAUDE| REGULACAO DE ACESSO A ACOES E SERVICOS DE SAUDE,-1.506,-48.626,CNES_GEO
2614235,150370,05077102000129,SECRETARIA MUNICIPAL DE SAUDE  PMI,SECRETARIA MUNICIPAL DE SAUDE PMI,POSTO DE SAUDE JOVEMCREOLANDIA,POSTO DE SAUDE,,,M,RUA JOTOBA,S/N,ZONA RURAL,68580000,Norte,PA,Itupiranga,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE,-5.17346,-49.36563,CNES_GEO
6671136,150650,05054929000117,SECRETARIA EXECUTIVA DE SAUDE PUBLICA,SECRETARIA EXECUTIVA DE ESTADO DE SAUDE PUBLICA,SESPA 2 RPS,CENTRAL DE GESTAO EM SAUDE,,,E,TRAVESSA CAPITAO NOE DE CARVALHO,1727,CENTRO,68790000,Norte,PA,Santa Izabel do Pará,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,REGULACAO DE ACESSO A ACOES E SERVICOS DE SAUDE| REGULACAO DE ACESSO A ACOES E SERVICOS DE SAUDE| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE| REGULACAO DE ACESSO A ACOES E SERVICOS DE SAUDE| REGULACAO DE ACESSO A ACOES E SERVICOS DE SAUDE| SERVICO DE VIGILANCIA EM SAUDE,-1.29937,-48.161,CNES_GEO
2332841,150140,,,LABORATORIO AC ICOARACI S C LTDA,LABORATORIO A C ICOARACI S C LTDA,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,RUA ITABORAI,730,ICOARACI,66810030,Norte,PA,Belém,(91) 32276311,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-1.30228,-48.48302,CNES_GEO
5103290,150140,,,CLINICA DE ONCOLOGIA PAULA SAMPAIO S S LTDA,CLINICA DE ONCOLOGIA PAULA SAMPAIO,CLINICA/CENTRO DE ESPECIALIDADE,,,M,AV CONSELHEIRO FURTADO,2391,CREMACAO,66040100,Norte,PA,Belém,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ONCOLOGIA,-1.45639,-48.47811,CNES_GEO
2676893,150080,,,DIAGNOSTICO LABORATORIOS LTDA,DIAGNOSIS LABORATORIOS,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,ARTERIAL 18 TRAV WE 70,2623,COQUEIRO,67140120,Norte,PA,Ananindeua,3263- 4499 / 3623-5150,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-1.33075,-48.40192,CNES_GEO
