co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
5051290,251230,,,ULTRAMED DIAGNOSTICO MEDICO ULTRA SONOGRAFICO LTDA,ULTRAMED DIAGNOSTICO MEDICO ULTRA SONOGRAFICO LTDA,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,PCA CORONEL JOSE PEREIRA LIMA,S/N,CENTRO,58755000,Nordeste,PB,Princesa Isabel,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS,-7.73678,-37.98785,CNES_GEO
3128563,251370,,,SANAC LABORAT SANTARITENSE E DE ANALISES CLINICAS LTDA,SANAC LABORAT SANTARITENSE E DE ANAL CLIN LTDA,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,AV SENADOR JOSE AMERICO,228,CENTRO,58300220,Nordeste,PB,Santa Rita,(83)2293032,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE HEMOTERAPIA,-7.12603,-34.98258,CNES_GEO
3148815,250400,,,HOSPITAL DE OLHOS DE CAMPINA GRANDE S S LTDA,HOSPITAL DE OLHOS DE CAMPINA GRANDE,HOSPITAL ESPECIALIZADO,,,M,RUA JOSE DE ALENCAR,940,PRATA,58400500,Nordeste,PB,Campina Grande,(83)33418662,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE OFTALMOLOGIA| SERVICO DE OFTALMOLOGIA| SERVICO DE OFTALMOLOGIA,-7.22193,-35.89674,CNES_GEO
5041619,250920,08739138000119,PREFEITURA MUNICIPAL DE MASSARANDUBA,MUNICIPIO DE MASSARANDUBA,UBS V ADERBAL GOMES DA SILVA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,SITIO ANINGAS,S/N,ZONA RURAL,58120000,Nordeste,PB,Massaranduba,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| ESTRATEGIA DE SAUDE DA FAMILIA",-7.18019947108161,-35.7375152076896,PMAQ
2757974,250540,08925968000130,PREFEITURA MUNICIPAL DE DESTERRO,PREFEITURA MUNICIPAL DE DESTERRO,USF RAIMUNDA CORDEIRO DE MORAIS,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA ALVARO MONTENEGRO,138,ZONA URBANA,58695000,Nordeste,PB,Desterro,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| ESTRATEGIA DE SAUDE DA FAMILIA",-7.29069,-37.09495,CNES_GEO
7100507,250970,09073628000191,PREFEITURA MUNICIPAL DE MONTEIRO,MUNICIPIO DE MONTEIRO,CENTRO DE DIAGNOSTICO POR IMAGEM MARGARIDA NEVES BERTO,CLINICA/CENTRO DE ESPECIALIDADE,,,M,RUA DOROTEU FERREIRA DE VASCONCELOS,S/N,CENTRO,58500000,Nordeste,PB,Monteiro,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR IMAGEM| MEDICINA NUCLEAR| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR IMAGEM,-7.889,-37.12,CNES_GEO
2356597,251370,09159666000161,PREFEITURA MUNICIPAL DE SANTA RITA,PREFEITURA MUNICIPAL DE SANTA RITA,UNIDADE DE PSF MUTIRAO,CENTRO DE SAUDE/UNIDADE BASICA,,,M,TRAVESSA ANTONIO V DOURADO ZEVEDO,42,JD EUROPA,58304000,Nordeste,PB,Santa Rita,(83) 30499500,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| ESTRATEGIA DE SAUDE DA FAMILIA,-7.1398365497587,-34.9854683876027,PMAQ
7061269,250750,08778326000156,PREFEITURA MUNICIPAL DE JOAO PESSOA,PREFEITURA MUNICIPAL DE JOAO PESSOA,SAMU 192 BASE JOAO PESSOA USA 04,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,,,M,RUA DIOGENES CHIANCA,1777,AGUA FRIA,58053900,Nordeste,PB,João Pessoa,3218-9125,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE ATENDIMENTO MOVEL DE URGENCIAS,-7.16842,-34.86421,CNES_GEO
2755564,250750,,,ENDOSER,ENDOSER,CLINICA/CENTRO DE ESPECIALIDADE,,,M,R CAPITAO JOSE PESSOA,937,JAGUARIBE,58015170,Nordeste,PB,João Pessoa,(83)32412652,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ENDOSCOPIA,-7.13021,-34.87406,CNES_GEO
5974933,251250,08742264000122,,PREFEITURA MUNICIPAL DE QUEIMADAS,NASF PEDRA DO TOURO,CENTRO DE APOIO A SAUDE DA FAMILIA,,,M,AV SEVERINO BEZERRA CABRAL,S/N,CENTRO,58475000,Nordeste,PB,Queimadas,8333921909,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE APOIO A SAUDE DA FAMILIA| SERVICO DE CONTROLE DE TABAGISMO,-7.37091,-35.90149,CNES_GEO
2607093,250250,08702573000179,,PREFEITURA MUNICIPAL DE BOQUEIRAO,UBSF BELA VISTA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA DO ALTO,S/N,BELA VISTA,58450000,Nordeste,PB,Boqueirão,(83)33911299,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO INTEGRAL EM HANSENIASE| SERVICO DE CONTROLE DE TABAGISMO| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE",-7.48022,-36.13659,PMAQ
