co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
2346206,260345,08260663000157,PREFEITURA MUNICIPAL DE CAMARAGIBE,PREFEITURA MUNICIPAL DE CAMARAGIBE,USF SANTA MONICA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA SENADOR POMPEU,20,SANTA MONICA,54783200,Nordeste,PE,Camaragibe,(81)34589157,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE APOIO A SAUDE DA FAMILIA",-8.0205217674976,-34.9957213563856,PMAQ
2352575,260910,11097375000138,,PREFEITURA MUNICIPAL DE MACHADOS,HOSPITAL EDSON ALVARES,HOSPITAL GERAL,,,M,RUA JOSE ALEXANDRE,S/N,CENTRO,55740000,Nordeste,PE,Machados,(81)36491162,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)","SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| REGULACAO DE ACESSO A ACOES E SERVICOS DE SAUDE| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE URGENCIA E EMERGENCIA| SERVICO DE URGENCIA E EMERGENCIA",-7.686,-35.515,CNES_GEO
5617553,260120,10105955000167,,FUNDO MUNICIPAL DE SAUDE DE ARCOVERDE,UBSF UNIVERSITARIO RODOVIARIA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA GUMERCINDO CAVALCANTE,641,SAO CRISTOVAO,56512220,Nordeste,PE,Arcoverde,87.3821.9010,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE CONTROLE DE TABAGISMO| SERVICO DE ATENCAO INTEGRAL EM HANSENIASE",-8.4239405,-37.0565055646245,PMAQ
2639025,260210,11285954000104,,PREFEITURA MUNICIPAL DE BOM CONSELHO,HOSPITAL MONSENHOR ALFREDO DAMASO,HOSPITAL GERAL,,,M,RUA CLETO CAMPELO,S/N,CENTRO,55330000,Nordeste,PE,Bom Conselho,(87)37714711,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)","SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE FARMACIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE FISIOTERAPIA| SERVICO DE LABORATORIO DE PROTESE DENTARIA| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO| SERVICO DE URGENCIA E EMERGENCIA| SERVICO DE URGENCIA E EMERGENCIA| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ATENCAO PSICOSSOCIAL| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE FISIOTERAPIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE DIAGNOSTICO POR IMAGEM",-9.16511,-36.68446,CNES_GEO
3207722,260600,,,LABMA LABORATORIO M ALMEIDA LTDA,LABORATORIO MANOEL BORBA,CONSULTORIO ISOLADO,,,M,AVENIDA AGAMENON MAGALHAES,128,HELIOPOLIS,55296080,Nordeste,PE,Garanhuns,(87)37626365,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-8.89281,-36.48718,CNES_GEO
5124808,261160,,,MEDICINA FISICA ESPECIALIZADA LTDA,MEDICINA FISICA ESPECIALIZADA LTDA,CLINICA/CENTRO DE ESPECIALIDADE,,,M,RUA PE BERNARDINO PESSOA,252,BOA VIAGEM,51020210,Nordeste,PE,Recife,8133265058,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA,-8.11424,-34.89421,CNES_GEO
2635194,260110,11040854000118,PREFEITURA MUNICIPAL DE ARARIPINA,PREFEITURA MUNICIPAL DE ARARIPINA,ESF CAVACO,CENTRO DE SAUDE/UNIDADE BASICA,,,M,POVOADO CAVACO,S/N,POVOADO CAVACO,56280000,Nordeste,PE,Araripina,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| ESTRATEGIA DE SAUDE DA FAMILIA",-7.576,-40.498,PMAQ
2638991,260600,,,HOSPITAL INFANTIL PALMIRA SALES,HOSPITAL INFANTIL PALMIRA SALES,HOSPITAL GERAL,,,M,RUA CAP JOAO LEITE,200,BOA VISTA,55292200,Nordeste,PE,Garanhuns,(87)37629255,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)","SERVICO DE PNEUMOLOGIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ATENCAO A SAUDE AUDITIVA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE HEMOTERAPIA| SERVICO DE ATENCAO A SAUDE AUDITIVA| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE SUPORTE NUTRICIONAL| SERVICO DE OFTALMOLOGIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE OFTALMOLOGIA| SERVICO DE FARMACIA| SERVICO DE SUPORTE NUTRICIONAL| SERVICO DE SUPORTE NUTRICIONAL",-8.90171,-36.49732,CNES_GEO
639,261160,10565000000192,PREFEITURA DA CIDADE DO RECIFE,PREFEITURA DA CIDADE DO RECIFE,US 106 CS PROF JOAQUIM CAVALCANTE,CENTRO DE SAUDE/UNIDADE BASICA,,,M,AV FORTE DO ARRAIAL NOVO DO BOM JESUS,1350,TORROES,50721110,Nordeste,PE,Recife,(81) 33554425,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE","SERVICO DE DIAGNOSTICO POR IMAGEM| ESTRATEGIA DE AGENTES COMUNITARIOS DE SAUDE| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE ATENCAO INTEGRAL EM HANSENIASE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO POSTO DE COLETA DE MATERIAIS  BIOLOGICOS| ATENÇÃO ÀS PESSOAS EM SITUAÇÃO DE VIOLENCIA SEXUAL| SERVICO DE ATENCAO A SAUDE REPRODUTIVA",-8.05898666381812,-34.932017326354,PMAQ
26344,261160,10565000000192,PREFEITURA DA CIDADE DO RECIFE,PREFEITURA DA CIDADE DO RECIFE,US 266 PSF MANGUEIRA II,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA FELICIANO CASTILHO,64,MANGUEIRA,50820120,Nordeste,PE,Recife,(81) 3355-6686,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO INTEGRAL EM HANSENIASE| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| ESTRATEGIA DE SAUDE DA FAMILIA| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO POSTO DE COLETA DE MATERIAIS  BIOLOGICOS| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",-8.06276248305241,-34.8889419445777,PMAQ
