co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
7020430,220200,06554455000640,SECRETARIA MUNICIPAL DE SAUDE,SMS DE BURITI DOS LOPES,SAMU 192 DE BURITI DOS LOPES,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,,,M,PCA ANTONIO ROMAO,S/N,CENTRO,64230000,Nordeste,PI,Buriti dos Lopes,86 33631313,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE ATENDIMENTO MOVEL DE URGENCIAS,-3.17743,-41.86343,CNES_GEO
7747519,220040,02807243000161,SMS DE ALTOS,SMS DE ALTOS,UBS ZUNDAO,POSTO DE SAUDE,,,M,LOCALIDADE ZUNDAO,S/N,ZONA RURAL,64290000,Nordeste,PI,Altos,,ATENDIMENTO COM TURNOS INTERMITENTES,"SERVICO DE VIGILANCIA EM SAUDE| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE",-5.03654623031616,-42.4609489440918,SEDE MUNICIPIO
2323192,220559,02930943000149,SEC MUNICIPAL DE SAUDE,SECRETARIA MUNICIPAL DE SAUDE,PS BACAMARTE,POSTO DE SAUDE,,,M,LOCALIDADE BACAMARTE,S/N,ZONA RURAL,64308000,Nordeste,PI,Lagoa do Sítio,(89)4671106,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE,-6.59843802452068,-41.3154602050769,PMAQ
7538650,220780,02433931000109,SMS E MEIO AMBIENTE DE PAULISTANA,SECRETARIA MUNICIPAL DE SAUDE E MEIO AMBRIENTE DE PAULISTANA,UBS TRIANGULO,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA FIRMINO CAIBRANO DA SILVA,S/N,TRIANGULO,64750000,Nordeste,PI,Paulistana,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE",-8.1396,-41.14333,SEDE MUNICIPIO
2366495,220100,02545932000145,SMS DE ARRAIAL,SMS DE ARRAIAL,PS CHAPADINHA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,CHAPADINHA,S/N,ZONA RURAL,64480000,Nordeste,PI,Arraial,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE VIGILANCIA EM SAUDE",-6.52843236923199,-42.5098586082446,PMAQ
3576310,221100,,,CLINICA ODONTOLOGICA E PEDIATRICA LTDA SC,ODONTO PED,CONSULTORIO ISOLADO,,,M,AVENIDA CAMPOS SALES,1591,CENTRO,64000300,Nordeste,PI,Teresina,(86)32226414,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",SERVICO DE DIAGNOSTICO POR IMAGEM,-5.08404,-42.81518,CNES_GEO
2326515,220950,06553945000117,SMS DE SANTO INACIO DO PIAUI,POSTO DE AUDE MALHADA DO JUAZEIRO SMS SANTO INACIO,PS MALAHDA DO JUAZEIRO PSF,CENTRO DE SAUDE/UNIDADE BASICA,,,M,MALHDA DO JUAZEIRO,S/N,ZONA RURAL,64560000,Nordeste,PI,Santo Inácio do Piauí,8934511186,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| ESTRATEGIA DE SAUDE DA FAMILIA",-7.52721190452554,-41.9209957122791,PMAQ
2609142,220669,01612596000143,SECRETARIA MUNICIPAL DE SAUDE DE MURICI DOS PORTELAS,SECRETARIA MUNICIPAL DE SAUDE DE MURICI DOS PORTELAS,PS AMM DOS PORTELAS,CENTRO DE SAUDE/UNIDADE BASICA,,,M,AV LIRA PORTELA,S/N,CENTRO,64175000,Nordeste,PI,Murici dos Portelas,(86)3340005,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE APOIO A SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| ESTRATEGIA DE SAUDE DA FAMILIA",-3.33117485046377,-42.0808553695666,PMAQ
5149177,220770,06554430000131,PREFEITURA MUNICIPAL DE PARNAIBA,PM DE PARNAIBA,CENTRAL DE CONTROLE AVALIACAO REGULACAO E AUDITORIA,CENTRAL DE REGULACAO DO ACESSO,,,M,RUA ITAUNA,1434,PINDORANA,64215115,Nordeste,PI,Parnaíba,,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",REGULACAO DE ACESSO A ACOES E SERVICOS DE SAUDE| REGULACAO DE ACESSO A ACOES E SERVICOS DE SAUDE,-2.91689,-41.75762,CNES_GEO
3502740,221050,06554810000508,SMS DE SAO PEDRO DO PIAUI,SMS DE SAO PEDRO DO PIAUI,POSTO DE SAUDE BAIRRO OUTRO LADO,POSTO DE SAUDE,,,M,AVENIDA NASCIMENTO,10,BAIRRO OUTRO LADO,64430000,Nordeste,PI,São Pedro do Piauí,8632801549,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,ESTRATEGIA DE SAUDE DA FAMILIA,-5.93701601028425,-42.7221179008471,PMAQ
