co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
2766345,240810,,,TOMOCENTRO SAO LUCAS SS LTDA,TOMOCENTRO SAO LUCAS,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,RUA MAXARANGUAPE,614,TIROL,59020160,Nordeste,RN,Natal,(84)2222050,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE DIAGNOSTICO POR IMAGEM,-5.79368,-35.19947,CNES_GEO
2473968,240970,08294654000187,PREFEITURA MUNICIPAL DE PEDRO AVELINO,PREFEITURA MUNICIPAL DE PEDRO AVELINO,CENTRO DE SAUDE,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA PROJETADA,S/N,COHAB,59530000,Nordeste,RN,Pedro Avelino,84 35342298,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE FISIOTERAPIA| SERVICO DE DISPENSACAO DE ORTESES PROTESES E MATERIAIS ESPE| SERVICO DE LABORATORIO DE PROTESE DENTARIA| SERVICO DE FARMACIA| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE APOIO A SAUDE DA FAMILIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FARMACIA| SERVICO DE FISIOTERAPIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FARMACIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE VIGILANCIA EM SAUDE",-5.51688551902755,-36.3970184326161,PMAQ
2375230,241350,08144792000180,PREFEITURA MUNICIPAL DE SERRINHA,PREFEITURA MUNICIPAL DE SERRINHA,CENTRO DE SAUDE JOSE TEIXEIRA DE SOUZA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA JOSE CORREIA DE ANDRADE,S/N,CENTRO,59258000,Nordeste,RN,Serrinha,(84) 3284-0024,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ENDOSCOPIA| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE REABILITACAO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DISPENSACAO DE ORTESES PROTESES E MATERIAIS ESPE| SERVICO DE CONTROLE DE TABAGISMO| SERVICO DE APOIO A SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE LABORATORIO DE PROTESE DENTARIA",-6.2770915257477,-35.5013432340406,PMAQ
5148685,240710,08234148000100,PREFEITURA MUNICIPAL DE MACAIBA,PREFEITURA MUNICIPAL DE MACAIBA,CAPS AD MACAIBA,CENTRO DE ATENCAO PSICOSSOCIAL,,,M,RUA GOVERNADOR DINARTE MARIZ,204,CENTRO,59280000,Nordeste,RN,Macaíba,3271-6513,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO PSICOSSOCIAL,-5.85899,-35.35771,CNES_GEO
2501910,240800,08348971000139,PREFEITURA MUNICIPAL DE MOSSORO,PREFEITURA MUNICIPAL DE MOSSORO,UBS DR HELENIO GURGEL,CENTRO DE SAUDE/UNIDADE BASICA,,,M,AV CUNHA DA MOTA,S/N,PEREIROS,59600160,Nordeste,RN,Mossoró,3315-4878,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| ESTRATEGIA DE SAUDE DA FAMILIA",-5.20032048225388,-37.3466491699208,PMAQ
2474867,240010,08097008000120,PREFEITURA MUNICIPAL DE ACARI,PREFEITURA MUNICIPAL DE ACARI,USF RAIMUNDA MEDEIROS DE ARAUJO PSF III,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA TEOFILO DANTAS,230,TARCISIO BEZERRA,59370000,Nordeste,RN,Acari,(84)4332230,ATENDIMENTO COM TURNOS INTERMITENTES,"SERVICO DE DISPENSACAO DE ORTESES PROTESES E MATERIAIS ESPE| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE APOIO A SAUDE DA FAMILIA",-6.4361858367918,-36.6338896751393,PMAQ
2476584,240310,12981841000106,SMS DE CURRAIS NOVOS,CURRAIS NOVOS SECRETARIA MUNICIPAL DE SAUDE,UNIDADE BASICA DE SAUDE GERALDO RUFINO DE ARAUJO,CENTRO DE SAUDE/UNIDADE BASICA,,,M,POVOADO DA CRUZ,S/N,ZONA RURAL,59380000,Nordeste,RN,Currais Novos,(84)34052727,ATENDIMENTO SOMENTE PELA MANHA,"ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE VIGILANCIA EM SAUDE",-6.2496864795683,-36.3818478584279,PMAQ
4013611,240810,08241754000145,SECRETARIA ESTADUAL DA SAUDE PUBLICA DO RN,SECRETARIA DE SAUDE PUBLICA,TRATAMENTO FORA DO DOMICILIO,CENTRAL DE GESTAO EM SAUDE,,,E,AV DEODORO DA FONSECA,730,CENTRO,59025600,Nordeste,RN,Natal,(84) 3232-2540,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,REGULACAO DE ACESSO A ACOES E SERVICOS DE SAUDE,-5.78781,-35.20439,CNES_GEO
2410362,240520,08349003000147,PREFEITURA MUNICIPAL DE JANDUIS,PREFEITURA MUNICIPAL DE JANDUIS,HOSPITAL MATERNIDADE MARIA CRISTINA MAIA,HOSPITAL GERAL,,,M,RUA DO SUL,03,CENTRO,59690000,Nordeste,RN,Janduís,33660007,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-6.0171,-37.40898,CNES_GEO
5402999,240120,08161234000122,PREFEITURA MUNICIPAL DE AREZ,PREFEITURA MUNICIPAL DE AREZ,CENTRO MUNICIPAL DE FISIOTERAPIA,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,CAMETA,S/N,CENTRO,59170000,Nordeste,RN,Arês,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA,-6.19496,-35.16019,CNES_GEO
