co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
6223419,110170,63787097000144,PREFEITURA MUNICIPAL DE URPA,MUNICIPIO DE URUPA,UBS FRANCISCO RAMIRES,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA JOSE CARLOS PRESTES,12,SUMAUMA,76929000,Norte,RO,Urupá,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,ESTRATEGIA DE SAUDE DA FAMILIA,-11.1308562755581,-62.367002964018,PMAQ
7565879,110004,,,LABORATORIO NAKANDAKARE E SETUBAL LTDA ME,LABORATORIO VIDA,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,AV MARECHAL RONDON,2775,PRINCESA ISABEL,76960970,Norte,RO,Cacoal,069-4138055,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-11.4425827,-61.4502095,GOOGLE
6365469,110020,05903125000145,PREFEITURA DO MUNICIPIO DE PORTO VELHO,PREFEITURA DO MUNICIPIO DE PORTO VELHO,CAPS AD,CENTRO DE ATENCAO PSICOSSOCIAL,,,M,AV GUAPORE COM VIEIRA CAULA,S/N,AGENOR DE CARVALHO,76820739,Norte,RO,Porto Velho,69 39012788,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ATENCAO DOMICILIAR| SERVICO DE ATENCAO PSICOSSOCIAL| SERVICO DE CONTROLE DE TABAGISMO,-8.74774,-63.90352,CNES_GEO
7070241,110020,,,ANGIOCLIM CLINICA MEDICA DE RONDONIA LTDA EPP,ANGIOCLIM CLINICA MEDICA DE RONDONIA LTDA,CLINICA/CENTRO DE ESPECIALIDADE,,,E,RUA JOAQUIM NABUCO,3600,SAO CRISTOVAO,76804066,Norte,RO,Porto Velho,69 3043 3626,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",CIRURGIA VASCULAR,-8.75798,-63.83877,CNES_GEO
2808587,110009,04695284000139,PREFEITURA MUNICIPAL DE ESPIGAO DOESTE,PREFEITURA MUNICIPAL DE ESPIGAO DOESTE,UNIDADE MISTA ESPIGAO DOESTE,UNIDADE MISTA,,,M,RUA PARANA,3357,LIBERDADE,76974000,Norte,RO,"Espigão D'Oeste",(69)4812484,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE URGENCIA E EMERGENCIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE HEMOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE URGENCIA E EMERGENCIA| SERVICO DE URGENCIA E EMERGENCIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE URGENCIA E EMERGENCIA| SERVICO DE ATENCAO A SAUDE REPRODUTIVA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DIAGNOSTICO POR IMAGEM,-11.52505,-61.01385,CNES_GEO
7070675,110030,,,ORTO GERMAIN SERVICOS E DIAGNOSTICOS LTDA ME,ORTO GERMAIN,CLINICA/CENTRO DE ESPECIALIDADE,,,M,RUA GONCALVES DIAS,191,5 BEC,76980000,Norte,RO,Vilhena,69 3322-9822,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR IMAGEM,-12.741,-60.146,CNES_GEO
3049450,110009,,,STOCCO STOCCO BORCHARDT LTDA ME,HOSPITAL E MATERNIDADE SANTA CECILIA,HOSPITAL GERAL,,,M,RUA ACRE,2926,VISTA ALEGRE,76974000,Norte,RO,"Espigão D'Oeste",(69)4812874,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE DIAGNOSTICO POR IMAGEM,-11.52505,-61.01385,CNES_GEO
6524974,110015,,,DANIELLA M LOCATELLI,ORTOFISIO TERAPIAS,CLINICA/CENTRO DE ESPECIALIDADE,,,M,R DOS SERINGUEIROS,647,JARDIM TROPICAL,76920000,Norte,RO,Ouro Preto do Oeste,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA,-10.71487,-62.25265,CNES_GEO
2493888,110020,04287520000188,SECRETARIA DE ESTADO DA SAUDE,HOSPITAL ESTADUAL E PRONTO SOCORRO JOAO PAULO II,HOSPITAL JOAO PAULO II PORTO VELHO,HOSPITAL GERAL,,,E,AVENIDA CAMPOS SALES,4295,FLORESTA,76810620,Norte,RO,Porto Velho,(69)3216-5492,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE ATENCAO DOMICILIAR| CIRURGIA VASCULAR| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ATENCAO CARDIOVASCULAR / CARDIOLOGIA| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE TRAUMATOLOGIA E ORTOPEDIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ATENCAO EM NEUROLOGIA / NEUROCIRURGIA| SERVICO DE ENDOSCOPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE FISIOTERAPIA| ATENCAO A DOENÇA RENAL CRONICA| SERVICO DE OFTALMOLOGIA| SERVICO DE TRAUMATOLOGIA E ORTOPEDIA| SERVICO DE CIRURGIA REPARADORA| SERVICO DE PNEUMOLOGIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE URGENCIA E EMERGENCIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE PNEUMOLOGIA| SERVICO DE HEMOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FISIOTERAPIA| SERVICO DE FARMACIA| ATENCAO A DOENÇA RENAL CRONICA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ONCOLOGIA| SERVICO DE URGENCIA E EMERGENCIA| TRANSPLANTE| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FISIOTERAPIA| SERVICO DE ATENCAO DOMICILIAR| SERVICO DE FISIOTERAPIA| REGULACAO DE ACESSO A ACOES E SERVICOS DE SAUDE| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR IMAGEM| CIRURGIA VASCULAR,-8.77959,-63.8981,CNES_GEO
7340249,110018,,,DROGARIA PIPPER LTDA ME,DROGARIA PIPPER,FARMACIA,,,M,AV PRESIDENTE DUTRA,356,PIONEIROS,76970000,Norte,RO,Pimenta Bueno,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE FARMACIA,-11.67482,-61.19099,CNES_GEO
