co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
2566265,140010,05943030000155,PREFEITURA MUNICIPAL DE BOA VISTA,MUNICIPIO DE BOA VISTA,UNIDADE BASICA DE SAUDE JARDIM FLORESTA,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA ANA CECILIA MOTA DA SILVA,S/N,JARDIM FLORESTA,69301970,Norte,RR,Boa Vista,(95) 3627-7973,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| ESTRATEGIA DE SAUDE DA FAMILIA",2.83406496047965,-60.7011580467207,PMAQ
7489382,140060,04056230000123,PREFEITURA MUNICIPAL DE SAO LUIZ,MUNICIPIO DE SAO LUIZ,SECRETARIA MUNICIPAL DE SAUDE DE SAO LUIZ,CENTRAL DE GESTAO EM SAUDE,,,M,AVENIDA MACAPA,1000,CENTRO,69370000,Norte,RR,São Luiz,,ATENDIMENTO SOMENTE PELA MANHA,SERVICO DE VIGILANCIA EM SAUDE,1.0098504,-60.0423949,GOOGLE
6856357,140005,00394544003362,DISTRITO SANITARIO ESPECIAL INDIGENA YANOMAMI,DISTRITO SANITARIO ESPECIAL INDIGENA YANOMAMI,UNIDADE BASICA DE SAUDE INDIGENA DO KETAA,UNIDADE DE ATENCAO A SAUDE INDIGENA,,,M,COMUNIDADE KETAA,S/N,RURAL,69350000,Norte,RR,Alto Alegre,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"ATENCAO A SAUDE DA POPULACAO INDIGENA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",2.89805,-61.49138,CNES_GEO
6595847,140015,04056214000130,PREFEITURA MUNICIPAL DE BONFIM,MUNICIPIO DE BONFIM,VIGILANCIA SANITARIA MUNICIPAL,UNIDADE DE VIGILANCIA EM SAUDE,,,M,RUA RODRIGO JOSE DA SILVA,37,CENTRO,69380000,Norte,RR,Bonfim,,ATENDIMENTO SOMENTE PELA MANHA,SERVICO DE VIGILANCIA EM SAUDE,3.35701,-59.83315,CNES_GEO
7277172,140005,04056206000194,PREFEITURA MUNICIPAL DE ALTO ALEGRE,MUNICIPIO DE ALTO ALEGRE,SAMU ALTO ALEGRE 192,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,,,D,AVENIDA PRIMEIRO DE JULHO,S/N,CENTRO,69350000,Norte,RR,Alto Alegre,32631303,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE ATENDIMENTO MOVEL DE URGENCIAS,2.98,-61.292,CNES_GEO
2319667,140002,01614081000182,PREFEITURA MUNICIPAL DE AMAJARI,MUNICIPIO DE AMAJARI,CENTRO DE SAUDE JAIR DA SILVA MOTA,CENTRO DE SAUDE/UNIDADE BASICA,,,D,RUA JOSE PEREIRA DA SILVA,S/N,CENTRO,69343000,Norte,RR,Amajari,(95)3593 1087,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE HEMOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO,3.6531,-61.3714642,PMAQ
6856373,140005,00394544003362,DISTRITO SANITARIO ESPECIAL INDIGENA YANOMAMI,DISTRITO SANITARIO ESPECIAL INDIGENA YANOMAMI,UNIDADE BASICA DE SAUDE INDIGENA URARICOERA,UNIDADE DE ATENCAO A SAUDE INDIGENA,,,M,COMUNIDADE URARICOERA,S/N,RURAL,69350000,Norte,RR,Alto Alegre,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"ATENCAO A SAUDE DA POPULACAO INDIGENA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",2.89805,-61.49138,CNES_GEO
6249833,140010,,,SUZETE DE M OLIVEIRA ME,CONSULTORIO MEDICO DE GINECOLOGIA E OBSTETRICIA,CONSULTORIO ISOLADO,,,M,RUA JOSE COELHO,72,CENTRO,69301310,Norte,RR,Boa Vista,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",2.81435,-60.66934,CNES_GEO
2320401,140040,04056222000187,PREFEITURA MUNICIPAL DE NORMANDIA,MUNICIPIO DE NORMANDIA,CENTRO DE SAUDE IRACEMA GALVAO,CENTRO DE SAUDE/UNIDADE BASICA,,,M,AV MAURICIO HABERT,S/N,CENTRO,69355000,Norte,RR,Normandia,095 3262 1126,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE ATENCAO A SAUDE DO TRABALHADOR| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE",3.881,-59.623,PMAQ
5472636,140010,,,MARIO CEZAR CALEGARI,DR CALEGARI,CONSULTORIO ISOLADO,,,M,AVENIDA SANTOS DUMONT,1798,31 DE MARCO,69305340,Norte,RR,Boa Vista,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",2.83487,-60.67112,CNES_GEO
