co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
2542,280030,13128780000878,,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,US JOAO CARDOSO NASCIMENTO JUNIOR JOSE CONRADO DE ARAUJO,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA ALAGOAS,2051,JOSE CONRADO DE ARAU,49075030,Nordeste,SE,Aracaju,(79) 3179-2261,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE",-10.9036302566525,-37.0789861679066,PMAQ
7016972,280067,13128798001680,SECRETARIA DE ESTADO DA SAUDE DE SERGIPE,SECRETARIA DE ESTADO DA SAUDE DE SERGIPE,SAMU 192 USB BOQUIM,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,,,E,PRACA HERMES FONTES,80,CENTRO,49360000,Nordeste,SE,Boquim,79 32594480,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE ATENDIMENTO MOVEL DE URGENCIAS,-11.14446,-37.61606,CNES_GEO
2611929,280290,13104740000110,PREFEITURA  MUNICIPAL DE ITABAIANA,PREFEITURA MUNICIPAL DE ITABAIANA,UNIDADE PSF SERRA PROF DEUZINHA TAVARES DOS SANTOS,CENTRO DE SAUDE/UNIDADE BASICA,,,M,POVOADO SERRA,S/N,RURAL,49511899,Nordeste,SE,Itabaiana,(79)3431 3366,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE VIGILANCIA EM SAUDE| ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE CONTROLE DE TABAGISMO| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",-10.7230317592618,-37.3868823051442,PMAQ
6822657,280210,,,DALTRO OLIVEIRA SERVICOS MEDICOS EM ORTOPEDIA E FISIOTERAPIA,CLIORT CLINICA ORTOPEDICA,CLINICA/CENTRO DE ESPECIALIDADE,,,M,ARGENILDA DO AMOR OLIVEIRA,179,CENTRO,49200000,Nordeste,SE,Estância,79 99189928,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE TRAUMATOLOGIA E ORTOPEDIA,-11.26871,-37.44213,CNES_GEO
3997049,280750,13099205000118,PREFEITURA MUN DE TOMAR DO GERU,PREFEITURA MUNICIPAL DE TOMAR DO GERU,UNIDADE DE SAUDE POV TABULEIRO,CENTRO DE SAUDE/UNIDADE BASICA,,,M,POVOADO TABULEIRO,S/N,ZONA RURAL,49280000,Nordeste,SE,Tomar do Geru,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"ESTRATEGIA DE SAUDE DA FAMILIA| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO",-11.3684785366055,-37.8020882606495,PMAQ
6325599,280600,13104427000181,PREFEITURA MUNICIPAL DE RIBEIROPOLIS,PREFEITURA MUNICIPAL DE RIBEIROPOLIS,SECRETARIA MUNICIPAL DE SAUDE DE RIBEIROPOLIS,CENTRAL DE GESTAO EM SAUDE,,,M,AV LEANDRO MACIEL,S/N,CENTRO,49530000,Nordeste,SE,Ribeirópolis,7934491480,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE| REGULACAO DE ACESSO A ACOES E SERVICOS DE SAUDE| SERVICO DE VIGILANCIA EM SAUDE,-10.54,-37.41754,CNES_GEO
6960898,280030,,,SERGIO RICARDO DOS SANTOS PAIVA,SERGIO RICARDO DOS SANTOS PAIVA,CONSULTORIO ISOLADO,,,M,RUA ITABAIANA,758,SAO JOSE,49035190,Nordeste,SE,Aracaju,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE OFTALMOLOGIA,-10.9208,-37.05067,CNES_GEO
2421887,280620,13107453000163,PREFEITURA MUN DE SALGADO,PREFEITURA MUNICIPAL DE SALGADO,P S DO POV QUEBRADAS II,POSTO DE SAUDE,,,M,POVOADO QUEBRADAS II,S/N,ZONA RURAL,49390000,Nordeste,SE,Salgado,(79)07613015,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE,-11.0347800578922,-37.4799781799317,SISMOB
3045862,280030,,,CENTRO DE DIAGNOSTICO POR IMAGEM SC LTDA,CENTRO DE DIAGNOSTICO POR IMAGEM SC LTDA,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,AV GONCALO ROLEMBERG LEITE,1490,SUISSA,49010410,Nordeste,SE,Aracaju,(79)2143832,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE DIAGNOSTICO POR IMAGEM,-10.92512,-37.05339,CNES_GEO
5871611,280030,,,CLINICA FISIOQUALYS LTDA ME,FISIOQUALYS,CLINICA/CENTRO DE ESPECIALIDADE,,,M,PRACA SIQUEIRA DE MENEZES,103,SANTO ANTONIO,49060650,Nordeste,SE,Aracaju,79 32154520,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA,-10.91897,-37.05977,CNES_GEO
