co_cnes,co_ibge,nu_cnpj_mantenedora,razao_social_mantenedora,no_razao_social,no_fantasia,ds_tipo_unidade,ds_natureza_organizacao,ds_esfera_administrativa,tp_gestao,no_logradouro,nu_endereco,no_bairro,co_cep,regiao,uf,municipio,nu_telefone,ds_turno_atendimento,ds_servico_especializado,lat,long,origem_coord
6886345,170210,01830793000139,PREFEITURA MUNICIPAL DE ARAGUAINA,PREFEITURA MUNICIPAL DE ARAGUAINA,UPA ANATOLIO DIAS CARNEIRO ARAGUAINA,PRONTO ATENDIMENTO,,,M,RUA DOS PINHEIROS,S/N,ARAGUAINA SUL,77804970,Norte,TO,Araguaína,,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE FARMACIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE URGENCIA E EMERGENCIA,-7.1926886339806,-48.1857588887215,SISMOB
2359707,171488,00001602000163,PREFEITURA MUNICIPAL DE NOVA OLINDA,PREFEITURA MUNICIPAL DE NOVA OLINDA,PRONTO ATENDIMENTO DE NOVA OLINDA,PRONTO ATENDIMENTO,,,M,AVENIDA GOIAS,1593,CENTRO,77790000,Norte,TO,Nova Olinda,(63)34521116,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE HEMOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE URGENCIA E EMERGENCIA,-7.63526,-48.42377,CNES_GEO
2467933,172100,24851511000185,PREFEITURA MUNICIPAL DE PALMAS,PREFEITURA MUNICIPAL DE PALMAS,CENTRO DE SAUDE DA COMUNIDADE MORADA DO SOL,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA MS 02 QD 54 A LOTE 01,S/N,TAQUARALTO,77064552,Norte,TO,Palmas,(63)3218 5419,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| ESTRATEGIA DE SAUDE DA FAMILIA",-10.1632533267927,-48.3510437082462,PMAQ
6752772,170950,,,RL PIRES ME,HEMOLAB DIAGNOSTICOS,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,AVENIDA PERNAMBUCO,1721,CENTRO,77410040,Norte,TO,Gurupi,,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO,-11.72693,-49.05896,CNES_GEO
2359642,171488,00001602000163,PREFEITURA MUNICIPAL DE NOVA OLINDA,PREFEITURA MUNICIPAL DE NOVA OLINDA,UNIDADE DE VIGILANCIA SANITARIA NOVA OLINDA,UNIDADE DE VIGILANCIA EM SAUDE,,,M,AV GOIAS,S/N,CENTRO,77790000,Norte,TO,Nova Olinda,(63)4521209,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE VIGILANCIA EM SAUDE,-7.632,-48.423,CNES_GEO
7127677,172100,,,CLINICA DE ENDOSCOPIA GASTRO LTDA ME,CLINICA DE ENDOSCOPIA GASTRO,CLINICA/CENTRO DE ESPECIALIDADE,,,M,104 NORTE NII RUA NE 09 CONJ 02 LT 37,S/N,CENTRO,77270000,Norte,TO,Palmas,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE ENDOSCOPIA,-10.167,-48.333,CNES_GEO
7174047,170550,,,V O VELOSO,FISIO PILATES COLINAS,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,,M,RUA TRES,1454,CENTRO,77760000,Norte,TO,Colinas do Tocantins,63 3476 3353,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA| SERVICO DE FISIOTERAPIA,-8.059,-48.475,CNES_GEO
2600536,170210,25053117000164,TOCANTINS SECRETARIA DE ESTADO DA SAUDE,TOCANTINS SECRETARIA DE ESTADO DA SAUDE,HOSPITAL REGIONAL DE ARAGUAINA,HOSPITAL GERAL,,,E,RUA 13 DE MAIO,1336,CENTRO,77803130,Norte,TO,Araguaína,63 34112812 / 2869,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)","SERVICO DE ONCOLOGIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE CUIDADOS INTERMEDIARIOS| SERVICO DE ATENCAO EM NEUROLOGIA / NEUROCIRURGIA| SERVICO DE ONCOLOGIA| SERVICO DE TRAUMATOLOGIA E ORTOPEDIA| SERVICO DE REABILITACAO| SERVICO DE FISIOTERAPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ATENCAO A SAUDE AUDITIVA| SERVICO DE HEMOTERAPIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| SERVICO DE SUPORTE NUTRICIONAL| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ATENCAO PSICOSSOCIAL| SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE CONTROLE DE TABAGISMO| SERVICO DE ENDOSCOPIA| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| SERVICO DE REABILITACAO| SERVICO DE REABILITACAO| ATENCAO A DOENÇA RENAL CRONICA| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| MEDICINA NUCLEAR| SERVICO DE ATENCAO PSICOSSOCIAL| SERVICO DE VIDEOLAPAROSCOPIA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE FISIOTERAPIA| SERVICO DE CIRURGIA TORACICA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| ATENCAO EM UROLOGIA| SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DISPENSACAO DE ORTESES PROTESES E MATERIAIS ESPE| SERVICO DE PRATICAS INTEGRATIVAS E COMPLEMENTARES| SERVICO DE REABILITACAO| CIRURGIA VASCULAR| SERVICO DE REABILITACAO| SERVICO DE FARMACIA| SERVICO DE URGENCIA E EMERGENCIA| SERVICO DE ONCOLOGIA| SERVICO DE ONCOLOGIA| SERVICO DE ATENCAO EM NEUROLOGIA / NEUROCIRURGIA| ATENCAO A DOENÇA RENAL CRONICA| SERVICO DE FISIOTERAPIA| SERVICO DE REABILITACAO| SERVICO DE HEMOTERAPIA| SERVICO DE REABILITACAO| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO| SERVICO DE DISPENSACAO DE ORTESES PROTESES E MATERIAIS ESPE| SERVICO DE CIRURGIA REPARADORA| SERVICO DE ATENCAO EM NEUROLOGIA / NEUROCIRURGIA| SERVICO DE HEMOTERAPIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| ATENCAO A DOENÇA RENAL CRONICA| SERVICO DE OFTALMOLOGIA| ATENCAO A SAUDE DA POPULACAO INDIGENA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE ATENCAO A SAUDE REPRODUTIVA| SERVICO DE DISPENSACAO DE ORTESES PROTESES E MATERIAIS ESPE| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE HEMOTERAPIA| SERVICO DE SUPORTE NUTRICIONAL| SERVICO DE CUIDADOS INTERMEDIARIOS| SERVICO DE ATENCAO CARDIOVASCULAR / CARDIOLOGIA| ATENÇÃO ÀS PESSOAS EM SITUAÇÃO DE VIOLENCIA SEXUAL| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE OFTALMOLOGIA| SERVICO DE FISIOTERAPIA| SERVICO DE ATENCAO CARDIOVASCULAR / CARDIOLOGIA| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| SERVICO DE ENDOSCOPIA| CIRURGIA VASCULAR| SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE TRAUMATOLOGIA E ORTOPEDIA| SERVICO DE TRAUMATOLOGIA E ORTOPEDIA| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| SERVICO DE ATENCAO EM SAUDE BUCAL| SERVICO DE FISIOTERAPIA| SERVICO DE ATENCAO A SAUDE REPRODUTIVA| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| MEDICINA NUCLEAR| SERVICO DE URGENCIA E EMERGENCIA| SERVICO DE FARMACIA| SERVICO DE FISIOTERAPIA| SERVICO DE ENDOSCOPIA| SERVICO DE ATENCAO EM NEUROLOGIA / NEUROCIRURGIA| SERVICO DE OFTALMOLOGIA| ATENCAO A SAUDE DA POPULACAO INDIGENA| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE DIAGNOSTICO POR LABORATORIO CLINICO| SERVICO DE ORTESES, PROTESES E MAT ESPECIAIS EM REABILITACAO| SERVICO DE ENDOSCOPIA| SERVICO DE FISIOTERAPIA| SERVICO DE VIGILANCIA EM SAUDE| SERVICO DE REABILITACAO| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE ATENCAO EM NEUROLOGIA / NEUROCIRURGIA| SERVICO DE ATENCAO A OBESIDADE",-7.1933,-48.20937,CNES_GEO
7128126,171750,01189497000109,PREFEITURA MUNICIPAL DE PIUM,PREFEITURA MUNICIPAL DE PIUM,U B S F MARIO GOMES DE PIUM,CENTRO DE SAUDE/UNIDADE BASICA,,,M,RUA GENESIO BARROS,S/N,CHAO DE ESTRELA,77570000,Norte,TO,Pium,33681228,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,"SERVICO DE ATENCAO AO PRE-NATAL, PARTO E NASCIMENTO| SERVICO DE APOIO A SAUDE DA FAMILIA| SERVICO DE ATENCAO INTEGRAL EM HANSENIASE| SERVICO DE ATENCAO AO PACIENTE COM TUBERCULOSE| ESTRATEGIA DE SAUDE DA FAMILIA",-10.4484277363146,-49.1678255796432,SISMOB
5052424,170950,,,HOSPITAL E MATERNIDADE SANTA CATARINA LTDA,HOSPITAL SANTA CATARINA,HOSPITAL GERAL,,,M,RUA MINISTRO ALFREDO NASSER,176,CENTRO,77423150,Norte,TO,Gurupi,(63)3124666,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",SERVICO DE DIAGNOSTICO POR METODOS GRAFICOS DINAMICOS| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE ENDOSCOPIA| SERVICO DE DIAGNOSTICO POR IMAGEM| SERVICO DE DIAGNOSTICO POR ANATOMIA PATOLOGICA EOU CITOPATO,-11.729,-49.069,CNES_GEO
